MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Acailandia,AMAZONIA,MARANHAO,128.672309787734
Acailandia,AMAZONIA,MARANHAO,1081.71840614601
Acailandia,AMAZONIA,MARANHAO,540.859203073005
Acailandia,AMAZONIA,MARANHAO,1920.14673715148
Acailandia,AMAZONIA,MARANHAO,138.841251294414
Acailandia,AMAZONIA,MARANHAO,2259.81956756262
Acailandia,AMAZONIA,MARANHAO,1967.9388115133
Acailandia,AMAZONIA,MARANHAO,833.047507766483
Acailandia,AMAZONIA,MARANHAO,53.8874135555161
Acailandia,AMAZONIA,MARANHAO,249.914252329945
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.7057340067965
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,14.3397120498171
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,7.16985602490852
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,25.4542690109605
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.84053775260384
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,29.9571142538329
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,26.0878207566996
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,11.043226515623
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.714354113884983
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,3.31296795468691
Buriticupu,AMAZONIA,MARANHAO,75.2115550267608
Buriticupu,AMAZONIA,MARANHAO,632.286181553153
Buriticupu,AMAZONIA,MARANHAO,316.143090776577
Buriticupu,AMAZONIA,MARANHAO,1122.36441716919
Buriticupu,AMAZONIA,MARANHAO,81.1555060209977
Buriticupu,AMAZONIA,MARANHAO,1320.91002358372
Buriticupu,AMAZONIA,MARANHAO,1150.29984660725
Buriticupu,AMAZONIA,MARANHAO,486.933036125986
Buriticupu,AMAZONIA,MARANHAO,31.4982778856347
Buriticupu,AMAZONIA,MARANHAO,146.079910837796
Cidelandia,AMAZONIA,MARANHAO,0.898134061005236
Cidelandia,AMAZONIA,MARANHAO,7.5504057289305
Cidelandia,AMAZONIA,MARANHAO,3.77520286446525
Cidelandia,AMAZONIA,MARANHAO,13.4026442022277
Cidelandia,AMAZONIA,MARANHAO,0.969113378517959
Cidelandia,AMAZONIA,MARANHAO,15.7735640924011
