MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Itinga Do Maranhao,AMAZONIA,MARANHAO,6710.07
Alto Boa Vista,AMAZONIA,MATO GROSSO,1.84083762562515
Alto Boa Vista,AMAZONIA,MATO GROSSO,1279.07206767876
Alto Boa Vista,AMAZONIA,MATO GROSSO,124.326432887356
Alto Boa Vista,AMAZONIA,MATO GROSSO,91.999197317189
Alto Boa Vista,AMAZONIA,MATO GROSSO,31.5729321845269
Alto Boa Vista,AMAZONIA,MATO GROSSO,1935.70662279455
Alto Boa Vista,AMAZONIA,MATO GROSSO,97.1756913925625
Alto Boa Vista,AMAZONIA,MATO GROSSO,16.3500117621959
Alto Boa Vista,AMAZONIA,MATO GROSSO,237.622068008983
Araputanga,AMAZONIA,MATO GROSSO,14.7636028239077
Araputanga,AMAZONIA,MATO GROSSO,3.44293942430801
Araputanga,AMAZONIA,MATO GROSSO,0.40568807042121
Araputanga,AMAZONIA,MATO GROSSO,0.0925239259273974
Araputanga,AMAZONIA,MATO GROSSO,0.224682674805902
Araputanga,AMAZONIA,MATO GROSSO,0.213956282223965
Araputanga,AMAZONIA,MATO GROSSO,1.1902166762922
Araputanga,AMAZONIA,MATO GROSSO,0.284883178340228
Araputanga,AMAZONIA,MATO GROSSO,8.21365803888472
Araputanga,AMAZONIA,MATO GROSSO,4.06589599466591
Araputanga,AMAZONIA,MATO GROSSO,0.27045871361414
Araputanga,AMAZONIA,MATO GROSSO,0.27045871361414
Araputanga,AMAZONIA,MATO GROSSO,0.981437875375856
Araputanga,AMAZONIA,MATO GROSSO,0.952167931859489
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,9.39716405075059
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,6529.44609855426
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,634.665366148388
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,469.640308136034
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,161.174467085583
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,9881.45420069163
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,496.065432957949
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,83.4640386649415
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1213.02037945944
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.0326353368041668
Canabrava Do Norte,AMAZONIA,MATO GROSSO,22.6760617799315
Canabrava Do Norte,AMAZONIA,MATO GROSSO,2.20412433690972
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.63101011646252
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.55974153363322
Canabrava Do Norte,AMAZONIA,MATO GROSSO,34.3172242405157
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.72278172372594
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.289861600601599
Canabrava Do Norte,AMAZONIA,MATO GROSSO,4.21268889424305
Canarana,AMAZONIA,MATO GROSSO,137.644201081687
Canarana,AMAZONIA,MATO GROSSO,8398.81561378122
Canarana,AMAZONIA,MATO GROSSO,597.355731674149
Canarana,AMAZONIA,MATO GROSSO,7336.27507962314
Canarana,AMAZONIA,MATO GROSSO,321.815693408808
Canarana,AMAZONIA,MATO GROSSO,26322.637122101
Canarana,AMAZONIA,MATO GROSSO,1861.96154910165
Canarana,AMAZONIA,MATO GROSSO,6235.92043426077
Claudia,AMAZONIA,MATO GROSSO,624.940909910289
Claudia,AMAZONIA,MATO GROSSO,2242.28021627305
Claudia,AMAZONIA,MATO GROSSO,1352.60753500037
Claudia,AMAZONIA,MATO GROSSO,2856.09982124326
Claudia,AMAZONIA,MATO GROSSO,357.138886964449
Claudia,AMAZONIA,MATO GROSSO,253.33732660156
Claudia,AMAZONIA,MATO GROSSO,16.3218185564945
Claudia,AMAZONIA,MATO GROSSO,27.856833183227
Claudia,AMAZONIA,MATO GROSSO,574.398757482635
Claudia,AMAZONIA,MATO GROSSO,27.2289830199435
Claudia,AMAZONIA,MATO GROSSO,292.853887310848
Claudia,AMAZONIA,MATO GROSSO,1938.4597982833
Claudia,AMAZONIA,MATO GROSSO,8.7896792150963
Claudia,AMAZONIA,MATO GROSSO,29.1075110363034
Claudia,AMAZONIA,MATO GROSSO,14.5407467929133
Claudia,AMAZONIA,MATO GROSSO,80.8455161584081
