MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Acailandia,AMAZONIA,MARANHAO,2036.80789028974
Acailandia,AMAZONIA,MARANHAO,98.7494515706389
Acailandia,AMAZONIA,MARANHAO,443.660276448734
Acailandia,AMAZONIA,MARANHAO,7.48507069853314
Acailandia,AMAZONIA,MARANHAO,208.261876941621
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,27.0007780967793
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.30906407116195
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.88134636155794
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.0992252307806255
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,2.76080662890576
Buriticupu,AMAZONIA,MARANHAO,1190.55520937008
Buriticupu,AMAZONIA,MARANHAO,57.7210421023744
Buriticupu,AMAZONIA,MARANHAO,259.328361714797
Buriticupu,AMAZONIA,MARANHAO,4.37517448509801
Buriticupu,AMAZONIA,MARANHAO,121.733259031497
Cidelandia,AMAZONIA,MARANHAO,14.2169402648573
Cidelandia,AMAZONIA,MARANHAO,0.689272199337113
Cidelandia,AMAZONIA,MARANHAO,3.09675334538521
Cidelandia,AMAZONIA,MARANHAO,0.0522458713492817
Cidelandia,AMAZONIA,MARANHAO,1.45367006777694
Itinga Do Maranhao,AMAZONIA,MARANHAO,319.460541322198
Itinga Do Maranhao,AMAZONIA,MARANHAO,15.4882320539022
Itinga Do Maranhao,AMAZONIA,MARANHAO,69.5853314164581
Itinga Do Maranhao,AMAZONIA,MARANHAO,1.17398638751746
Itinga Do Maranhao,AMAZONIA,MARANHAO,32.6645690355622
Santa Luzia,AMAZONIA,MARANHAO,146.755674738746
Santa Luzia,AMAZONIA,MARANHAO,7.11507573415218
Santa Luzia,AMAZONIA,MARANHAO,31.9665215042694
Santa Luzia,AMAZONIA,MARANHAO,0.539312816916762
Santa Luzia,AMAZONIA,MARANHAO,15.0056431039147
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,440.438911756243
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,21.3535607327754
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,95.9370052915292
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,1.61857012072529
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,45.0345046667273
Alto Boa Vista,AMAZONIA,MATO GROSSO,1934.4698145986
Alto Boa Vista,AMAZONIA,MATO GROSSO,16.5074363822518
Alto Boa Vista,AMAZONIA,MATO GROSSO,549.724646371193
Alto Boa Vista,AMAZONIA,MATO GROSSO,1501.70975408522
Alto Boa Vista,AMAZONIA,MATO GROSSO,102.676202226104
Alto Boa Vista,AMAZONIA,MATO GROSSO,330.030650012476
Alto Boa Vista,AMAZONIA,MATO GROSSO,55.0051083354127
Alto Boa Vista,AMAZONIA,MATO GROSSO,395.00176722646
Alto Boa Vista,AMAZONIA,MATO GROSSO,91.6751805590212
Alto Boa Vista,AMAZONIA,MATO GROSSO,275.025541677064
Alto Boa Vista,AMAZONIA,MATO GROSSO,855.51450847018
Alto Boa Vista,AMAZONIA,MATO GROSSO,333.328389607545
Alto Boa Vista,AMAZONIA,MATO GROSSO,385.087463149725
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,9875.14050449435
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,84.2676646663334
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,2806.25113957926
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,7665.9737498351
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,524.144608408399
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1684.750527027
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,280.7917545045
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,2016.41706758514
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,467.986257507499
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1403.9587725225
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,4367.25655320162
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1701.58492868206
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1965.80622578073
Canabrava Do Norte,AMAZONIA,MATO GROSSO,34.2952974548637
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.292652506994035
Canabrava Do Norte,AMAZONIA,MATO GROSSO,9.74580741622055
Canabrava Do Norte,AMAZONIA,MATO GROSSO,26.6230996826949
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.82029767035193
Canabrava Do Norte,AMAZONIA,MATO GROSSO,5.85095679755979
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.975159466259965
Canabrava Do Norte,AMAZONIA,MATO GROSSO,7.00279890644829
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.62526577709994
Canabrava Do Norte,AMAZONIA,MATO GROSSO,4.87579733129982
Canabrava Do Norte,AMAZONIA,MATO GROSSO,15.1670107868933
Canabrava Do Norte,AMAZONIA,MATO GROSSO,5.90942085809363
Canabrava Do Norte,AMAZONIA,MATO GROSSO,6.82703291371803
Canarana,AMAZONIA,MATO GROSSO,1711.21509674036
Canarana,AMAZONIA,MATO GROSSO,360.049447014612
Canarana,AMAZONIA,MATO GROSSO,11439.6310716392
Querencia,AMAZONIA,MATO GROSSO,29441.4838770447
Querencia,AMAZONIA,MATO GROSSO,251.233396578097
Querencia,AMAZONIA,MATO GROSSO,8366.48325593537
Querencia,AMAZONIA,MATO GROSSO,22855.1322844367
Querencia,AMAZONIA,MATO GROSSO,1562.67093421836
Querencia,AMAZONIA,MATO GROSSO,5022.87085998759
Querencia,AMAZONIA,MATO GROSSO,837.145143331266
Querencia,AMAZONIA,MATO GROSSO,6011.69275087143
Querencia,AMAZONIA,MATO GROSSO,1395.24190555211
Querencia,AMAZONIA,MATO GROSSO,4185.72571665633
Querencia,AMAZONIA,MATO GROSSO,13020.4236931601
Querencia,AMAZONIA,MATO GROSSO,5073.06050181412
Querencia,AMAZONIA,MATO GROSSO,5860.80291975359
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,10271.7619404079
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,87.6521595143641
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,2918.96035683114
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,7973.86704157623
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,545.196155687008
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,1752.41621470824
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,292.06936911804
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,2097.40368568765
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,486.7822818634
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,1460.3468455902
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,4542.66140585615
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,1769.92674695143
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,2044.76012903326
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,795.877615638269
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,6.79147278963002
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,226.167158313752
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,617.831909002972
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,42.2429393282938
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,135.780876412373
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,22.6301460687288
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,162.511227779654
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,37.716910114548
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,113.150730343644
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,351.974914266872
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,137.137629103013
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,158.432294818406
Sao Francisco Do Maranhao,CAATINGA,MARANHAO,33.020020194972
Sao Francisco Do Maranhao,CAATINGA,MARANHAO,1.60089171916997
Sao Francisco Do Maranhao,CAATINGA,MARANHAO,7.19246589621182
Sao Francisco Do Maranhao,CAATINGA,MARANHAO,0.121345359473838
Sao Francisco Do Maranhao,CAATINGA,MARANHAO,3.37626902136404
Amorinopolis,CERRADO,GOIAS,2.01461174879266
Amorinopolis,CERRADO,GOIAS,0.785698582029136
Amorinopolis,CERRADO,GOIAS,18.3718690668823
Aparecida Do Rio Doce,CERRADO,GOIAS,1.00730587439633
Aparecida Do Rio Doce,CERRADO,GOIAS,0.392849291014568
Aparecida Do Rio Doce,CERRADO,GOIAS,9.18593453344118
Apore,CERRADO,GOIAS,4.17845399749588
Apore,CERRADO,GOIAS,1.62959705902339
Apore,CERRADO,GOIAS,38.1046173239042
Aragarcas,CERRADO,GOIAS,0.154080670920441
Aragarcas,CERRADO,GOIAS,0.0600914616589719
Aragarcas,CERRADO,GOIAS,1.40510940313148
Arenopolis,CERRADO,GOIAS,11.1922866372793
Arenopolis,CERRADO,GOIAS,4.36499178853893
