MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Claudia,AMAZONIA,MATO GROSSO,16056.7253605785
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,15061.206190172
Juara,AMAZONIA,MATO GROSSO,5966.25891623487
Novo Horizonte Do Norte,AMAZONIA,MATO GROSSO,963.275132282972
Sinop,AMAZONIA,MATO GROSSO,35790.1186683334
Tabapora,AMAZONIA,MATO GROSSO,38560.7427323982
Cristalina,CERRADO,GOIAS,8324.396
Pires Do Rio,CERRADO,GOIAS,5622.207
Santa Cruz De Goias,CERRADO,GOIAS,17154.267
Paracatu,CERRADO,MINAS GERAIS,23300.25
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,4183.73714603202
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,3972.66433410366
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,3732.68076396798
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,6506.93958234548
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,7207.68484836616
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,17915.2285522069
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,8145.61055331093
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,1503.82649543733
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,1411.79107234498
Unknown Municipality Rio Grande Do Sul,UNKNOWN BIOME,RIO GRANDE DO SUL,1390.976
Unknown Municipality Rio Grande Do Sul,UNKNOWN BIOME,RIO GRANDE DO SUL,3204.856
