MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Itaubal,AMAZONIA,AMAPA,574.876570272214
Itaubal,AMAZONIA,AMAPA,804.681485547427
Itaubal,AMAZONIA,AMAPA,2988.72994418036
Macapa,AMAZONIA,AMAPA,1728.06545100138
Macapa,AMAZONIA,AMAPA,2418.8536220506
Macapa,AMAZONIA,AMAPA,8984.05192694802
Tartarugalzinho,AMAZONIA,AMAPA,43.70497872641
Tartarugalzinho,AMAZONIA,AMAPA,61.1758924019696
Tartarugalzinho,AMAZONIA,AMAPA,227.21812887162
Acailandia,AMAZONIA,MARANHAO,367.929315930196
Acailandia,AMAZONIA,MARANHAO,257.56260034
Acailandia,AMAZONIA,MARANHAO,19.4377751812179
Acailandia,AMAZONIA,MARANHAO,441.82451742412
Acailandia,AMAZONIA,MARANHAO,128.672309787734
Acailandia,AMAZONIA,MARANHAO,1081.71840614601
Acailandia,AMAZONIA,MARANHAO,540.859203073005
Acailandia,AMAZONIA,MARANHAO,1920.14673715148
Acailandia,AMAZONIA,MARANHAO,138.841251294414
Acailandia,AMAZONIA,MARANHAO,2259.81956756262
Acailandia,AMAZONIA,MARANHAO,1967.9388115133
Acailandia,AMAZONIA,MARANHAO,833.047507766483
Acailandia,AMAZONIA,MARANHAO,53.8874135555161
Acailandia,AMAZONIA,MARANHAO,249.914252329945
Acailandia,AMAZONIA,MARANHAO,2036.80789028974
Acailandia,AMAZONIA,MARANHAO,98.7494515706389
Acailandia,AMAZONIA,MARANHAO,443.660276448734
Acailandia,AMAZONIA,MARANHAO,7.48507069853314
Acailandia,AMAZONIA,MARANHAO,208.261876941621
Acailandia,AMAZONIA,MARANHAO,825.699820486105
Acailandia,AMAZONIA,MARANHAO,69.4206256472069
Acailandia,AMAZONIA,MARANHAO,3745.63824297112
Acailandia,AMAZONIA,MARANHAO,7452.87028842981
Acailandia,AMAZONIA,MARANHAO,1918.98019295811
Acailandia,AMAZONIA,MARANHAO,751.599272781517
Acailandia,AMAZONIA,MARANHAO,691.903366057474
Acailandia,AMAZONIA,MARANHAO,221.378695895783
Acailandia,AMAZONIA,MARANHAO,1346.45822725487
Acailandia,AMAZONIA,MARANHAO,416.252527498838
Acailandia,AMAZONIA,MARANHAO,264.936389775621
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,4.87742504440017
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,3.4143576578646
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.257675285364537
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.85701077139301
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.7057340067965
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,14.3397120498171
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,7.16985602490852
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,25.4542690109605
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.84053775260384
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,29.9571142538329
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,26.0878207566996
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,11.043226515623
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.714354113884983
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,3.31296795468691
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,27.0007780967793
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.30906407116195
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.88134636155794
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.0992252307806255
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,2.76080662890576
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,10.9458224969486
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,0.920268876301919
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,49.6537486482768
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,98.7983686636973
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,25.4388048127632
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,9.96351461461967
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,9.17216068358563
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,2.93468867227638
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,17.8492139509142
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.5180177673118
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,3.51210769763651
Buriticupu,AMAZONIA,MARANHAO,215.062090955644
Buriticupu,AMAZONIA,MARANHAO,150.550524197975
Buriticupu,AMAZONIA,MARANHAO,11.3617708429397
Buriticupu,AMAZONIA,MARANHAO,258.255323614188
Buriticupu,AMAZONIA,MARANHAO,75.2115550267608
Buriticupu,AMAZONIA,MARANHAO,632.286181553153
Buriticupu,AMAZONIA,MARANHAO,316.143090776577
Buriticupu,AMAZONIA,MARANHAO,1122.36441716919
Buriticupu,AMAZONIA,MARANHAO,81.1555060209977
Buriticupu,AMAZONIA,MARANHAO,1320.91002358372
Buriticupu,AMAZONIA,MARANHAO,1150.29984660725
Buriticupu,AMAZONIA,MARANHAO,486.933036125986
Buriticupu,AMAZONIA,MARANHAO,31.4982778856347
Buriticupu,AMAZONIA,MARANHAO,146.079910837796
Buriticupu,AMAZONIA,MARANHAO,1190.55520937008
Buriticupu,AMAZONIA,MARANHAO,57.7210421023744
Buriticupu,AMAZONIA,MARANHAO,259.328361714797
Buriticupu,AMAZONIA,MARANHAO,4.37517448509801
Buriticupu,AMAZONIA,MARANHAO,121.733259031497
Buriticupu,AMAZONIA,MARANHAO,482.638165014096
Buriticupu,AMAZONIA,MARANHAO,40.5777530104989
Buriticupu,AMAZONIA,MARANHAO,2189.40094637532
Buriticupu,AMAZONIA,MARANHAO,4356.35269725286
Buriticupu,AMAZONIA,MARANHAO,1121.68254860761
Buriticupu,AMAZONIA,MARANHAO,439.324903362148
Buriticupu,AMAZONIA,MARANHAO,404.431444304371
Buriticupu,AMAZONIA,MARANHAO,129.400303729571
Buriticupu,AMAZONIA,MARANHAO,787.031935755835
Buriticupu,AMAZONIA,MARANHAO,243.307980781981
Buriticupu,AMAZONIA,MARANHAO,154.860652544997
Cidelandia,AMAZONIA,MARANHAO,2.56815045307259
Cidelandia,AMAZONIA,MARANHAO,1.79778963001474
Cidelandia,AMAZONIA,MARANHAO,0.135675872992514
Cidelandia,AMAZONIA,MARANHAO,3.08393972829445
Cidelandia,AMAZONIA,MARANHAO,0.898134061005236
Cidelandia,AMAZONIA,MARANHAO,7.5504057289305
Cidelandia,AMAZONIA,MARANHAO,3.77520286446525
Cidelandia,AMAZONIA,MARANHAO,13.4026442022277
Cidelandia,AMAZONIA,MARANHAO,0.969113378517959
Cidelandia,AMAZONIA,MARANHAO,15.7735640924011
Cidelandia,AMAZONIA,MARANHAO,13.7362333784945
Cidelandia,AMAZONIA,MARANHAO,5.81468027110775
Cidelandia,AMAZONIA,MARANHAO,0.376134707253836
Cidelandia,AMAZONIA,MARANHAO,1.74440408133233
Cidelandia,AMAZONIA,MARANHAO,14.2169402648573
Cidelandia,AMAZONIA,MARANHAO,0.689272199337113
Cidelandia,AMAZONIA,MARANHAO,3.09675334538521
Cidelandia,AMAZONIA,MARANHAO,0.0522458713492817
Cidelandia,AMAZONIA,MARANHAO,1.45367006777694
Cidelandia,AMAZONIA,MARANHAO,5.76339333744651
Cidelandia,AMAZONIA,MARANHAO,0.484556689258979
Cidelandia,AMAZONIA,MARANHAO,26.1445939049806
Cidelandia,AMAZONIA,MARANHAO,52.0211121517523
Cidelandia,AMAZONIA,MARANHAO,13.3945017116214
Cidelandia,AMAZONIA,MARANHAO,5.24617074353783
Cidelandia,AMAZONIA,MARANHAO,4.829492693537
Cidelandia,AMAZONIA,MARANHAO,1.54522560054235
Cidelandia,AMAZONIA,MARANHAO,9.39829243458261
Cidelandia,AMAZONIA,MARANHAO,2.90544697256894
Cidelandia,AMAZONIA,MARANHAO,1.84925875699114
Itinga Do Maranhao,AMAZONIA,MARANHAO,6710.07
Itinga Do Maranhao,AMAZONIA,MARANHAO,57.7074052961599
Itinga Do Maranhao,AMAZONIA,MARANHAO,40.397078252316
Itinga Do Maranhao,AMAZONIA,MARANHAO,3.04869310998581
Itinga Do Maranhao,AMAZONIA,MARANHAO,69.2974041285994
Itinga Do Maranhao,AMAZONIA,MARANHAO,20.1814446683627
Itinga Do Maranhao,AMAZONIA,MARANHAO,169.660746716978
Itinga Do Maranhao,AMAZONIA,MARANHAO,84.8303733584886
Itinga Do Maranhao,AMAZONIA,MARANHAO,301.162971232013
Itinga Do Maranhao,AMAZONIA,MARANHAO,21.7763793570415
Itinga Do Maranhao,AMAZONIA,MARANHAO,354.438524018755
Itinga Do Maranhao,AMAZONIA,MARANHAO,308.658858310672
Itinga Do Maranhao,AMAZONIA,MARANHAO,130.658276142249
Itinga Do Maranhao,AMAZONIA,MARANHAO,8.45190279700333
Itinga Do Maranhao,AMAZONIA,MARANHAO,39.1974828426747
Itinga Do Maranhao,AMAZONIA,MARANHAO,319.460541322198
Itinga Do Maranhao,AMAZONIA,MARANHAO,15.4882320539022
Itinga Do Maranhao,AMAZONIA,MARANHAO,69.5853314164581
Itinga Do Maranhao,AMAZONIA,MARANHAO,1.17398638751746
Itinga Do Maranhao,AMAZONIA,MARANHAO,32.6645690355622
Itinga Do Maranhao,AMAZONIA,MARANHAO,129.505837482105
Itinga Do Maranhao,AMAZONIA,MARANHAO,10.8881896785207
Itinga Do Maranhao,AMAZONIA,MARANHAO,587.479863172792
Itinga Do Maranhao,AMAZONIA,MARANHAO,1168.93595517603
Itinga Do Maranhao,AMAZONIA,MARANHAO,300.980006092654
Itinga Do Maranhao,AMAZONIA,MARANHAO,117.883631384597
Itinga Do Maranhao,AMAZONIA,MARANHAO,108.520702869002
