MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Alta Floresta,AMAZONIA,MATO GROSSO,3951.69213710195
Alta Floresta,AMAZONIA,MATO GROSSO,1087.00837342034
Alta Floresta,AMAZONIA,MATO GROSSO,98.8189430382129
Alta Floresta,AMAZONIA,MATO GROSSO,118.582731645856
Alta Floresta,AMAZONIA,MATO GROSSO,1067.84216272504
Alta Floresta,AMAZONIA,MATO GROSSO,276.938664871812
Alto Boa Vista,AMAZONIA,MATO GROSSO,8.153370538486
Alto Boa Vista,AMAZONIA,MATO GROSSO,1146.06865229163
Alto Boa Vista,AMAZONIA,MATO GROSSO,94.7917699973057
Alto Boa Vista,AMAZONIA,MATO GROSSO,70.4065386693282
Alto Boa Vista,AMAZONIA,MATO GROSSO,109.643515948589
Alto Boa Vista,AMAZONIA,MATO GROSSO,11.0010216670825
Alto Boa Vista,AMAZONIA,MATO GROSSO,3.66700722236085
Araputanga,AMAZONIA,MATO GROSSO,0.567602686971542
Araputanga,AMAZONIA,MATO GROSSO,63.3770636639503
Araputanga,AMAZONIA,MATO GROSSO,2.25382261345117
Araputanga,AMAZONIA,MATO GROSSO,10.3675840218754
Araputanga,AMAZONIA,MATO GROSSO,2.65994972851748
Araputanga,AMAZONIA,MATO GROSSO,12.648452506688
Araputanga,AMAZONIA,MATO GROSSO,37.3105782978049
Araputanga,AMAZONIA,MATO GROSSO,0.901529045380468
Araputanga,AMAZONIA,MATO GROSSO,0.24189376581126
Aripuana,AMAZONIA,MATO GROSSO,81.3488050385371
Aripuana,AMAZONIA,MATO GROSSO,0.482288483060905
Aripuana,AMAZONIA,MATO GROSSO,49.5932353180369
Aripuana,AMAZONIA,MATO GROSSO,208.868553477325
Aripuana,AMAZONIA,MATO GROSSO,7.04586769679606
Aripuana,AMAZONIA,MATO GROSSO,16.9994026333451
Aripuana,AMAZONIA,MATO GROSSO,138.512830200752
Aripuana,AMAZONIA,MATO GROSSO,50.5485204748462
Aripuana,AMAZONIA,MATO GROSSO,348.886072737327
Aripuana,AMAZONIA,MATO GROSSO,3.42590369110666
Aripuana,AMAZONIA,MATO GROSSO,6.59584905717868
Aripuana,AMAZONIA,MATO GROSSO,30.6278250970092
Aripuana,AMAZONIA,MATO GROSSO,14.756563303173
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,41.621574575699
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,5850.4862075218
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,483.895918317724
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,359.41344576576
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,559.711563978969
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,56.1583509008999
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,18.7194503003
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.144547237577404
Canabrava Do Norte,AMAZONIA,MATO GROSSO,20.3181073374319
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.68051831245823
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.24820411681275
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.94381786941153
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.195031893251993
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.0650106310839977
Carlinda,AMAZONIA,MATO GROSSO,1792.60224678673
Carlinda,AMAZONIA,MATO GROSSO,493.098547372751
Carlinda,AMAZONIA,MATO GROSSO,44.8271406702501
Carlinda,AMAZONIA,MATO GROSSO,53.7925688043001
Carlinda,AMAZONIA,MATO GROSSO,484.404197923762
Carlinda,AMAZONIA,MATO GROSSO,125.62741621755
Claudia,AMAZONIA,MATO GROSSO,17792.7224907241
Claudia,AMAZONIA,MATO GROSSO,1441.95197036339
Claudia,AMAZONIA,MATO GROSSO,5999.93330100274
Claudia,AMAZONIA,MATO GROSSO,3522.61341186287
Claudia,AMAZONIA,MATO GROSSO,1157.12999376481
Claudia,AMAZONIA,MATO GROSSO,7669.87159407096
Claudia,AMAZONIA,MATO GROSSO,407.565469248281
Claudia,AMAZONIA,MATO GROSSO,142.85555478578
Claudia,AMAZONIA,MATO GROSSO,524.954735704619
Claudia,AMAZONIA,MATO GROSSO,399.101010156145
Claudia,AMAZONIA,MATO GROSSO,210.182989372165
Claudia,AMAZONIA,MATO GROSSO,91.8033162465614
Claudia,AMAZONIA,MATO GROSSO,37.1119789081844
Claudia,AMAZONIA,MATO GROSSO,182.94576581187
Claudia,AMAZONIA,MATO GROSSO,9.76631023899589
Claudia,AMAZONIA,MATO GROSSO,316.428451743466
Claudia,AMAZONIA,MATO GROSSO,71.29406474467
Claudia,AMAZONIA,MATO GROSSO,150.724989462821
Colider,AMAZONIA,MATO GROSSO,2809.25518568732
Colider,AMAZONIA,MATO GROSSO,772.753494951182
Colider,AMAZONIA,MATO GROSSO,70.2503177228347
Colider,AMAZONIA,MATO GROSSO,84.3003812674017
Colider,AMAZONIA,MATO GROSSO,759.128249127949
Colider,AMAZONIA,MATO GROSSO,196.875503813669
Confresa,AMAZONIA,MATO GROSSO,7264.28167612591
Confresa,AMAZONIA,MATO GROSSO,1698.1988606626
Confresa,AMAZONIA,MATO GROSSO,566.066286887534
Confresa,AMAZONIA,MATO GROSSO,566.066286887534
Confresa,AMAZONIA,MATO GROSSO,367.943086476897
Cotriguacu,AMAZONIA,MATO GROSSO,3.6213944074405
Cotriguacu,AMAZONIA,MATO GROSSO,0.996152004703566
Cotriguacu,AMAZONIA,MATO GROSSO,0.0905592731548697
Cotriguacu,AMAZONIA,MATO GROSSO,0.108671127785844
Cotriguacu,AMAZONIA,MATO GROSSO,0.978587780109214
Cotriguacu,AMAZONIA,MATO GROSSO,0.253791058962989
Denise,AMAZONIA,MATO GROSSO,1.32271757177736
Denise,AMAZONIA,MATO GROSSO,29.7628706302937
Denise,AMAZONIA,MATO GROSSO,27.3700424030921
Denise,AMAZONIA,MATO GROSSO,3.68715597140102
Denise,AMAZONIA,MATO GROSSO,0.425183866147053
Denise,AMAZONIA,MATO GROSSO,5.67254764830925
Denise,AMAZONIA,MATO GROSSO,0.981193537262429
Denise,AMAZONIA,MATO GROSSO,3.62475794726961
Denise,AMAZONIA,MATO GROSSO,0.588716122357458
Denise,AMAZONIA,MATO GROSSO,4.41537091768093
Denise,AMAZONIA,MATO GROSSO,10.6465210537292
Denise,AMAZONIA,MATO GROSSO,7.65998530440997
Denise,AMAZONIA,MATO GROSSO,0.850882147246388
Denise,AMAZONIA,MATO GROSSO,0.0490596768631215
Denise,AMAZONIA,MATO GROSSO,4.02289350277596e-05
Diamantino,AMAZONIA,MATO GROSSO,768.61839015208
Diamantino,AMAZONIA,MATO GROSSO,43.9846309862136
Diamantino,AMAZONIA,MATO GROSSO,141207.540143257
Diamantino,AMAZONIA,MATO GROSSO,936.181831432935
Diamantino,AMAZONIA,MATO GROSSO,8236.04093839462
Diamantino,AMAZONIA,MATO GROSSO,1233.88765382861
Diamantino,AMAZONIA,MATO GROSSO,28772.2941054371
Diamantino,AMAZONIA,MATO GROSSO,38125.5838032821
Diamantino,AMAZONIA,MATO GROSSO,93.6181831432935
Feliz Natal,AMAZONIA,MATO GROSSO,2074.15549521084
Feliz Natal,AMAZONIA,MATO GROSSO,1092.33550232197
Feliz Natal,AMAZONIA,MATO GROSSO,477.108170678108
Feliz Natal,AMAZONIA,MATO GROSSO,192.873515806044
Feliz Natal,AMAZONIA,MATO GROSSO,950.781771601595
Feliz Natal,AMAZONIA,MATO GROSSO,50.7561883700115
Feliz Natal,AMAZONIA,MATO GROSSO,1644.50050318837
Feliz Natal,AMAZONIA,MATO GROSSO,370.520175101085
Feliz Natal,AMAZONIA,MATO GROSSO,783.328173079774
Guaranta Do Norte,AMAZONIA,MATO GROSSO,3657.63301409614
Guaranta Do Norte,AMAZONIA,MATO GROSSO,1006.12030878928
Guaranta Do Norte,AMAZONIA,MATO GROSSO,91.4654826172076
Guaranta Do Norte,AMAZONIA,MATO GROSSO,109.758579140649
Guaranta Do Norte,AMAZONIA,MATO GROSSO,988.380322332325
Guaranta Do Norte,AMAZONIA,MATO GROSSO,256.330697931775
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,16689.571260603
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,1352.55075080797
