MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,57.2112530285582
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,57.2112530285582
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,57.2112530285582
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,57.2112530285582
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,57.2112530285582
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,76.0120098634736
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,50.6746732423157
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,51.5192511296876
Anta Gorda,MATA ATLANTICA,RIO GRANDE DO SUL,30.4048039453894
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,39.7795665476239
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,39.7795665476239
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,39.7795665476239
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,39.7795665476239
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,39.7795665476239
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,52.8519241358573
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,35.2346160905715
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,35.8218596920811
David Canabarro,MATA ATLANTICA,RIO GRANDE DO SUL,21.1407696543429
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,98.0764833301398
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,98.0764833301398
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,98.0764833301398
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,98.0764833301398
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,98.0764833301398
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,130.306368478665
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,86.8709123191096
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,88.3187608577612
Encantado,MATA ATLANTICA,RIO GRANDE DO SUL,52.1225473914658
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1416.66004490447
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1416.66004490447
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1416.66004490447
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1416.66004490447
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1416.66004490447
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1882.2027417004
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1254.80182780027
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,1275.71519159694
Faxinalzinho,MATA ATLANTICA,RIO GRANDE DO SUL,752.881096680159
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1027.07862218921
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1027.07862218921
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1027.07862218921
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1027.07862218921
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1027.07862218921
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,1364.59710682161
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,909.731404547737
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,924.893594623532
Itapuca,MATA ATLANTICA,RIO GRANDE DO SUL,545.838842728642
