MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Itaubal,AMAZONIA,AMAPA,2759.24350102175
Macapa,AMAZONIA,AMAPA,8294.22028618463
Tartarugalzinho,AMAZONIA,AMAPA,209.771706193036
Acailandia,AMAZONIA,MARANHAO,2941.50018759471
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,38.993231926741
Buriticupu,AMAZONIA,MARANHAO,1719.36591646403
Cidelandia,AMAZONIA,MARANHAO,20.531920420025
Itinga Do Maranhao,AMAZONIA,MARANHAO,1388.70599647379
Santa Luzia,AMAZONIA,MARANHAO,211.939952722839
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,636.069611238113
Alta Floresta,AMAZONIA,MATO GROSSO,9743.19341445715
Alto Boa Vista,AMAZONIA,MATO GROSSO,17375.6003956503
Araputanga,AMAZONIA,MATO GROSSO,216.078680562558
Arenapolis,AMAZONIA,MATO GROSSO,982.176457102535
Aripuana,AMAZONIA,MATO GROSSO,750.025585423753
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,88699.4909714235
Canabrava Do Norte,AMAZONIA,MATO GROSSO,21607.8890562558
Canarana,AMAZONIA,MATO GROSSO,214025.246697707
Carlinda,AMAZONIA,MATO GROSSO,4419.79555696141
Claudia,AMAZONIA,MATO GROSSO,79538.4600351762
Colider,AMAZONIA,MATO GROSSO,6926.42977142127
Confresa,AMAZONIA,MATO GROSSO,29956.3914416273
Cotriguacu,AMAZONIA,MATO GROSSO,8.9289950645685
Denise,AMAZONIA,MATO GROSSO,2955.45936637217
Diamantino,AMAZONIA,MATO GROSSO,289431.042184711
Feliz Natal,AMAZONIA,MATO GROSSO,113575.350221311
Gaucha Do Norte,AMAZONIA,MATO GROSSO,176791.818278456
Guaranta Do Norte,AMAZONIA,MATO GROSSO,9018.16801521418
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,161612.72266869
Itanhanga,AMAZONIA,MATO GROSSO,77002.6584368387
Itauba,AMAZONIA,MATO GROSSO,30286.7602590163
Juara,AMAZONIA,MATO GROSSO,21496.2776179487
Marcelandia,AMAZONIA,MATO GROSSO,38534.3660001583
Matupa,AMAZONIA,MATO GROSSO,34755.6642888329
Mirassol D'Oeste,AMAZONIA,MATO GROSSO,4272.46913839603
