MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Alto Boa Vista,AMAZONIA,MATO GROSSO,306.745154150485
Alto Boa Vista,AMAZONIA,MATO GROSSO,152.343504838431
Alto Boa Vista,AMAZONIA,MATO GROSSO,3.25626574338421
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1565.88201762009
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,777.687769472273
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,16.6226846721634
Canabrava Do Norte,AMAZONIA,MATO GROSSO,5.4381392901764
Canabrava Do Norte,AMAZONIA,MATO GROSSO,2.7008257116871
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.0577287902962791
Claudia,AMAZONIA,MATO GROSSO,569.970987281563
Claudia,AMAZONIA,MATO GROSSO,280.824273940461
Claudia,AMAZONIA,MATO GROSSO,7007.45248805489
Claudia,AMAZONIA,MATO GROSSO,653.416646812761
Claudia,AMAZONIA,MATO GROSSO,181.653370445324
Claudia,AMAZONIA,MATO GROSSO,879.257668401801
Claudia,AMAZONIA,MATO GROSSO,101.10101938767
Feliz Natal,AMAZONIA,MATO GROSSO,2962.17855955381
Feliz Natal,AMAZONIA,MATO GROSSO,1459.4631337924
Feliz Natal,AMAZONIA,MATO GROSSO,36418.2142256202
Feliz Natal,AMAZONIA,MATO GROSSO,3395.85141144764
Feliz Natal,AMAZONIA,MATO GROSSO,944.065103682215
Feliz Natal,AMAZONIA,MATO GROSSO,4569.5627878976
Feliz Natal,AMAZONIA,MATO GROSSO,525.42897561775
Itanhanga,AMAZONIA,MATO GROSSO,389.055228703391
Itanhanga,AMAZONIA,MATO GROSSO,191.6872166502
Itanhanga,AMAZONIA,MATO GROSSO,4783.20141060367
Itanhanga,AMAZONIA,MATO GROSSO,446.014215875799
Itanhanga,AMAZONIA,MATO GROSSO,123.994370170345
Itanhanga,AMAZONIA,MATO GROSSO,600.170536575552
Itanhanga,AMAZONIA,MATO GROSSO,69.0103199947352
Nova Ubirata,AMAZONIA,MATO GROSSO,7061.54046477533
Nova Ubirata,AMAZONIA,MATO GROSSO,3479.21564109735
Nova Ubirata,AMAZONIA,MATO GROSSO,86817.4177345374
Nova Ubirata,AMAZONIA,MATO GROSSO,8095.37361512537
Nova Ubirata,AMAZONIA,MATO GROSSO,2250.557755721
Nova Ubirata,AMAZONIA,MATO GROSSO,10893.3853528165
Nova Ubirata,AMAZONIA,MATO GROSSO,1252.57066651954
Querencia,AMAZONIA,MATO GROSSO,4668.47941597736
Querencia,AMAZONIA,MATO GROSSO,2318.57783855048
Querencia,AMAZONIA,MATO GROSSO,49.5584343884487
Santa Carmem,AMAZONIA,MATO GROSSO,1342.63069493682
Santa Carmem,AMAZONIA,MATO GROSSO,661.513126964741
Santa Carmem,AMAZONIA,MATO GROSSO,16506.8416002131
Santa Carmem,AMAZONIA,MATO GROSSO,1539.19632081224
Santa Carmem,AMAZONIA,MATO GROSSO,427.904922252012
Santa Carmem,AMAZONIA,MATO GROSSO,2071.19021967282
Santa Carmem,AMAZONIA,MATO GROSSO,238.154809539862
