MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Acailandia,AMAZONIA,MARANHAO,7452.87028842981
Acailandia,AMAZONIA,MARANHAO,1918.98019295811
Acailandia,AMAZONIA,MARANHAO,751.599272781517
Acailandia,AMAZONIA,MARANHAO,691.903366057474
Acailandia,AMAZONIA,MARANHAO,221.378695895783
Acailandia,AMAZONIA,MARANHAO,1346.45822725487
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,98.7983686636973
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,25.4388048127632
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,9.96351461461967
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,9.17216068358563
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,2.93468867227638
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,17.8492139509142
Buriticupu,AMAZONIA,MARANHAO,4356.35269725286
Buriticupu,AMAZONIA,MARANHAO,1121.68254860761
Buriticupu,AMAZONIA,MARANHAO,439.324903362148
Buriticupu,AMAZONIA,MARANHAO,404.431444304371
Buriticupu,AMAZONIA,MARANHAO,129.400303729571
Buriticupu,AMAZONIA,MARANHAO,787.031935755835
Cidelandia,AMAZONIA,MARANHAO,52.0211121517523
Cidelandia,AMAZONIA,MARANHAO,13.3945017116214
Cidelandia,AMAZONIA,MARANHAO,5.24617074353783
Cidelandia,AMAZONIA,MARANHAO,4.829492693537
Cidelandia,AMAZONIA,MARANHAO,1.54522560054235
Cidelandia,AMAZONIA,MARANHAO,9.39829243458261
Itinga Do Maranhao,AMAZONIA,MARANHAO,1168.93595517603
Itinga Do Maranhao,AMAZONIA,MARANHAO,300.980006092654
Itinga Do Maranhao,AMAZONIA,MARANHAO,117.883631384597
Itinga Do Maranhao,AMAZONIA,MARANHAO,108.520702869002
Itinga Do Maranhao,AMAZONIA,MARANHAO,34.7218598107497
Itinga Do Maranhao,AMAZONIA,MARANHAO,211.18352702639
Santa Luzia,AMAZONIA,MARANHAO,536.992719408251
Santa Luzia,AMAZONIA,MARANHAO,138.265977056773
Santa Luzia,AMAZONIA,MARANHAO,54.1540804786021
Santa Luzia,AMAZONIA,MARANHAO,49.8528829468202
Santa Luzia,AMAZONIA,MARANHAO,15.9507335197665
Santa Luzia,AMAZONIA,MARANHAO,97.0147388913618
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,1611.60711078624
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,414.959875154463
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,162.525669386319
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,149.617039014655
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,47.8708828511487
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,291.157845157905
Alto Boa Vista,AMAZONIA,MATO GROSSO,92.190248393474
Alto Boa Vista,AMAZONIA,MATO GROSSO,10.6245300355628
Alto Boa Vista,AMAZONIA,MATO GROSSO,1.08250053204092
Alto Boa Vista,AMAZONIA,MATO GROSSO,897.545451892303
Alto Boa Vista,AMAZONIA,MATO GROSSO,114.888509718877
Alto Boa Vista,AMAZONIA,MATO GROSSO,75.1736480583974
Alto Boa Vista,AMAZONIA,MATO GROSSO,952.70087085376
Alto Boa Vista,AMAZONIA,MATO GROSSO,49.974524477417
Alto Boa Vista,AMAZONIA,MATO GROSSO,73.081217067246
Alto Boa Vista,AMAZONIA,MATO GROSSO,69.697889523607
Alto Boa Vista,AMAZONIA,MATO GROSSO,97.9200571886295
Alto Boa Vista,AMAZONIA,MATO GROSSO,835.437020536527
Alto Boa Vista,AMAZONIA,MATO GROSSO,519.89013230057
Alto Boa Vista,AMAZONIA,MATO GROSSO,119.073261690962
Alto Boa Vista,AMAZONIA,MATO GROSSO,7.04065386693283
Alto Boa Vista,AMAZONIA,MATO GROSSO,362.531811735199
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,470.615591496679
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,54.2364249385681
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,5.52598172864855
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,4581.81739498764
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,586.486368132494
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,383.748731156149
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,4863.37645975995
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,255.111476610033
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,373.067225620295
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,355.795911995227
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,499.865294174407
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,4264.76438050093
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,2653.95100229754
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,607.848817620694
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,35.9413445765759
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1850.6634485671
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.634397170342
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.188357251758599
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.0191911382959961
Canabrava Do Norte,AMAZONIA,MATO GROSSO,15.9121574395276
Canabrava Do Norte,AMAZONIA,MATO GROSSO,2.03680387526359
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.33271793722195
Canabrava Do Norte,AMAZONIA,MATO GROSSO,16.8899816915556
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.885974632007383
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.29562222101911
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.23564081235577
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.73597823172968
Canabrava Do Norte,AMAZONIA,MATO GROSSO,14.8110665299011
Canabrava Do Norte,AMAZONIA,MATO GROSSO,9.21688547246532
Canabrava Do Norte,AMAZONIA,MATO GROSSO,2.11099335735034
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.124820411681275
Canabrava Do Norte,AMAZONIA,MATO GROSSO,6.4271544722393
Canarana,AMAZONIA,MATO GROSSO,12811.5817140485
Canarana,AMAZONIA,MATO GROSSO,3106.24980470558
Canarana,AMAZONIA,MATO GROSSO,291.210919191148
Canarana,AMAZONIA,MATO GROSSO,19191.3461551911
Canarana,AMAZONIA,MATO GROSSO,996.287809958096
Canarana,AMAZONIA,MATO GROSSO,2613.4313260744
Canarana,AMAZONIA,MATO GROSSO,3843.4263524087
Canarana,AMAZONIA,MATO GROSSO,12888.100743192
Canarana,AMAZONIA,MATO GROSSO,15640.4792525378
Claudia,AMAZONIA,MATO GROSSO,2148.54754397812
Claudia,AMAZONIA,MATO GROSSO,2177.78507609836
Claudia,AMAZONIA,MATO GROSSO,3621.38831381951
Claudia,AMAZONIA,MATO GROSSO,1064.27388315406
Claudia,AMAZONIA,MATO GROSSO,1797.96386985613
Claudia,AMAZONIA,MATO GROSSO,1798.55143475296
Claudia,AMAZONIA,MATO GROSSO,4114.61068799512
Claudia,AMAZONIA,MATO GROSSO,2205.59262411518
Claudia,AMAZONIA,MATO GROSSO,14.285555478578
Claudia,AMAZONIA,MATO GROSSO,321.424998268004
Claudia,AMAZONIA,MATO GROSSO,578.564996882407
Claudia,AMAZONIA,MATO GROSSO,5.85978614339754
Claudia,AMAZONIA,MATO GROSSO,20.1185990923316
Claudia,AMAZONIA,MATO GROSSO,11.7195722867951
Claudia,AMAZONIA,MATO GROSSO,1.36728343345943
Claudia,AMAZONIA,MATO GROSSO,0.585978614339754
Claudia,AMAZONIA,MATO GROSSO,15.6260963823934
Claudia,AMAZONIA,MATO GROSSO,1022.23773945365
Claudia,AMAZONIA,MATO GROSSO,41.9951340276824
Claudia,AMAZONIA,MATO GROSSO,84.7715728744844
Claudia,AMAZONIA,MATO GROSSO,20.8999039114512
Confresa,AMAZONIA,MATO GROSSO,300.642899562551
Confresa,AMAZONIA,MATO GROSSO,28838.5509630815
Confresa,AMAZONIA,MATO GROSSO,249.263326966917
Confresa,AMAZONIA,MATO GROSSO,7004.1091196781
Confresa,AMAZONIA,MATO GROSSO,2609.67370121233
Confresa,AMAZONIA,MATO GROSSO,151.705764885859
Confresa,AMAZONIA,MATO GROSSO,8022.7850275723
Feliz Natal,AMAZONIA,MATO GROSSO,30.4537130220069
Feliz Natal,AMAZONIA,MATO GROSSO,104.557748042224
Feliz Natal,AMAZONIA,MATO GROSSO,60.9074260440138
Feliz Natal,AMAZONIA,MATO GROSSO,7.10586637180162
Feliz Natal,AMAZONIA,MATO GROSSO,3.04537130220069
Feliz Natal,AMAZONIA,MATO GROSSO,81.2099013920184
Feliz Natal,AMAZONIA,MATO GROSSO,5312.64008545143
Feliz Natal,AMAZONIA,MATO GROSSO,218.251609991049
Feliz Natal,AMAZONIA,MATO GROSSO,440.5637150517
Feliz Natal,AMAZONIA,MATO GROSSO,108.618243111825
Gaucha Do Norte,AMAZONIA,MATO GROSSO,7157.315
Gaucha Do Norte,AMAZONIA,MATO GROSSO,208.278
Gaucha Do Norte,AMAZONIA,MATO GROSSO,0.858488173266428
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1096.69655391733
Gaucha Do Norte,AMAZONIA,MATO GROSSO,21131.8074567947
Gaucha Do Norte,AMAZONIA,MATO GROSSO,116.864711852223
Gaucha Do Norte,AMAZONIA,MATO GROSSO,13041.5383210676
Gaucha Do Norte,AMAZONIA,MATO GROSSO,596.148398265171
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1400.19584670351
Gaucha Do Norte,AMAZONIA,MATO GROSSO,3495.59064803795
Gaucha Do Norte,AMAZONIA,MATO GROSSO,11856.9004154318
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1013.99167175757
Gaucha Do Norte,AMAZONIA,MATO GROSSO,515.995761959474
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,2015.33730213072
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,2042.76210325709
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,3396.86174262059
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,998.288756707039
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,1686.48986379668
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,1687.04099958948
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,3859.50426207871
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,2068.84557949022
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,13.399849083316
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,301.496604374609
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,542.693887874296
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,3180
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,6420
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,20440
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,11300
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,10040
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,6550
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,9830
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,19054.92
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,130
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,2700
Ipiranga Do Norte,AMAZONIA,MATO GROSSO,5780
Itanhanga,AMAZONIA,MATO GROSSO,38.1838843876541
