MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Alto Boa Vista,AMAZONIA,MATO GROSSO,1030.80156074712
Alto Boa Vista,AMAZONIA,MATO GROSSO,92.0418812812573
Alto Boa Vista,AMAZONIA,MATO GROSSO,18.3350361118042
Alto Boa Vista,AMAZONIA,MATO GROSSO,1437.46683116545
Alto Boa Vista,AMAZONIA,MATO GROSSO,110.010216670825
Alto Boa Vista,AMAZONIA,MATO GROSSO,55.0051083354127
Alto Boa Vista,AMAZONIA,MATO GROSSO,143.013281672073
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,5262.0672433403
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,469.858202537529
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,93.5972515014999
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,7338.02451771759
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,561.583509008999
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,280.7917545045
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,730.058561711699
Canabrava Do Norte,AMAZONIA,MATO GROSSO,18.2745917646151
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.63176684020834
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.325053155419988
Canabrava Do Norte,AMAZONIA,MATO GROSSO,25.4841673849271
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.95031893251993
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.975159466259965
Canabrava Do Norte,AMAZONIA,MATO GROSSO,2.5354146122759
Gaucha Do Norte,AMAZONIA,MATO GROSSO,6388.8438263538
Gaucha Do Norte,AMAZONIA,MATO GROSSO,3812.39838753571
Gaucha Do Norte,AMAZONIA,MATO GROSSO,149.998768011475
Gaucha Do Norte,AMAZONIA,MATO GROSSO,59.9995072045899
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1919.30383613518
Gaucha Do Norte,AMAZONIA,MATO GROSSO,862.364217123026
Gaucha Do Norte,AMAZONIA,MATO GROSSO,44196.1875023795
Gaucha Do Norte,AMAZONIA,MATO GROSSO,10071.1707822084
Gaucha Do Norte,AMAZONIA,MATO GROSSO,20217.0724506277
Gaucha Do Norte,AMAZONIA,MATO GROSSO,3409.75699456004
Gaucha Do Norte,AMAZONIA,MATO GROSSO,269.997782420655
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1499.98768011475
Gaucha Do Norte,AMAZONIA,MATO GROSSO,1499.98768011475
Gaucha Do Norte,AMAZONIA,MATO GROSSO,2702.97779956678
Gaucha Do Norte,AMAZONIA,MATO GROSSO,2279.98127377442
Querencia,AMAZONIA,MATO GROSSO,15688.1887234131
Querencia,AMAZONIA,MATO GROSSO,1400.82287317432
Querencia,AMAZONIA,MATO GROSSO,279.048381110422
Querencia,AMAZONIA,MATO GROSSO,21877.3930790571
Querencia,AMAZONIA,MATO GROSSO,1674.29028666253
Querencia,AMAZONIA,MATO GROSSO,837.145143331266
Querencia,AMAZONIA,MATO GROSSO,2176.5773726613
