MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Itaubal,AMAZONIA,AMAPA,804.681485547427
Macapa,AMAZONIA,AMAPA,2418.8536220506
Tartarugalzinho,AMAZONIA,AMAPA,61.1758924019696
Acailandia,AMAZONIA,MARANHAO,367.929315930196
Acailandia,AMAZONIA,MARANHAO,1920.14673715148
Acailandia,AMAZONIA,MARANHAO,138.841251294414
Acailandia,AMAZONIA,MARANHAO,2259.81956756262
Acailandia,AMAZONIA,MARANHAO,1967.9388115133
Acailandia,AMAZONIA,MARANHAO,2036.80789028974
Acailandia,AMAZONIA,MARANHAO,443.660276448734
Acailandia,AMAZONIA,MARANHAO,825.699820486105
Acailandia,AMAZONIA,MARANHAO,7452.87028842981
Acailandia,AMAZONIA,MARANHAO,416.252527498838
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,4.87742504440017
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,25.4542690109605
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,1.84053775260384
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,29.9571142538329
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,26.0878207566996
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,27.0007780967793
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.88134636155794
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,10.9458224969486
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,98.7983686636973
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.5180177673118
Buriticupu,AMAZONIA,MARANHAO,215.062090955644
Buriticupu,AMAZONIA,MARANHAO,1122.36441716919
Buriticupu,AMAZONIA,MARANHAO,81.1555060209977
Buriticupu,AMAZONIA,MARANHAO,1320.91002358372
Buriticupu,AMAZONIA,MARANHAO,1150.29984660725
Buriticupu,AMAZONIA,MARANHAO,1190.55520937008
Buriticupu,AMAZONIA,MARANHAO,259.328361714797
Buriticupu,AMAZONIA,MARANHAO,482.638165014096
Buriticupu,AMAZONIA,MARANHAO,4356.35269725286
Buriticupu,AMAZONIA,MARANHAO,243.307980781981
Cidelandia,AMAZONIA,MARANHAO,2.56815045307259
Cidelandia,AMAZONIA,MARANHAO,13.4026442022277
Cidelandia,AMAZONIA,MARANHAO,0.969113378517959
Cidelandia,AMAZONIA,MARANHAO,15.7735640924011
Cidelandia,AMAZONIA,MARANHAO,13.7362333784945
Cidelandia,AMAZONIA,MARANHAO,14.2169402648573
Cidelandia,AMAZONIA,MARANHAO,3.09675334538521
Cidelandia,AMAZONIA,MARANHAO,5.76339333744651
Cidelandia,AMAZONIA,MARANHAO,52.0211121517523
Cidelandia,AMAZONIA,MARANHAO,2.90544697256894
Itinga Do Maranhao,AMAZONIA,MARANHAO,57.7074052961599
Itinga Do Maranhao,AMAZONIA,MARANHAO,301.162971232013
Itinga Do Maranhao,AMAZONIA,MARANHAO,21.7763793570415
Itinga Do Maranhao,AMAZONIA,MARANHAO,354.438524018755
Itinga Do Maranhao,AMAZONIA,MARANHAO,308.658858310672
Itinga Do Maranhao,AMAZONIA,MARANHAO,319.460541322198
Itinga Do Maranhao,AMAZONIA,MARANHAO,69.5853314164581
Itinga Do Maranhao,AMAZONIA,MARANHAO,129.505837482105
Itinga Do Maranhao,AMAZONIA,MARANHAO,1168.93595517603
Itinga Do Maranhao,AMAZONIA,MARANHAO,65.2865979140505
Santa Luzia,AMAZONIA,MARANHAO,26.5099694835826
Santa Luzia,AMAZONIA,MARANHAO,138.350028665679
Santa Luzia,AMAZONIA,MARANHAO,10.0037620692764
Santa Luzia,AMAZONIA,MARANHAO,162.82406750609
Santa Luzia,AMAZONIA,MARANHAO,141.793533648928
Santa Luzia,AMAZONIA,MARANHAO,146.755674738746
Santa Luzia,AMAZONIA,MARANHAO,31.9665215042694
Santa Luzia,AMAZONIA,MARANHAO,59.4931583213094
Santa Luzia,AMAZONIA,MARANHAO,536.992719408251
Santa Luzia,AMAZONIA,MARANHAO,29.991743858627
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,79.5609582445516
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,415.212128426603
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,30.0230031111515
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,488.662910158484
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,425.546676580527
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,440.438911756243
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,95.9370052915292
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,178.549156307762
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,1611.60711078624
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,90.010359396877
Alta Floresta,AMAZONIA,MATO GROSSO,3951.69213710195
Alta Floresta,AMAZONIA,MATO GROSSO,4506.34725098244
Alto Boa Vista,AMAZONIA,MATO GROSSO,238.355469453455
Alto Boa Vista,AMAZONIA,MATO GROSSO,8.153370538486
Alto Boa Vista,AMAZONIA,MATO GROSSO,211.077996189057
Alto Boa Vista,AMAZONIA,MATO GROSSO,92.190248393474
Alto Boa Vista,AMAZONIA,MATO GROSSO,1279.07206767876
Alto Boa Vista,AMAZONIA,MATO GROSSO,1146.06865229163
Alto Boa Vista,AMAZONIA,MATO GROSSO,306.745154150485
Alto Boa Vista,AMAZONIA,MATO GROSSO,546.548101364823
Alto Boa Vista,AMAZONIA,MATO GROSSO,897.545451892303
Alto Boa Vista,AMAZONIA,MATO GROSSO,1030.80156074712
Alto Boa Vista,AMAZONIA,MATO GROSSO,1136.91671901642
Alto Boa Vista,AMAZONIA,MATO GROSSO,1934.4698145986
Alto Boa Vista,AMAZONIA,MATO GROSSO,16.5074363822518
Alto Boa Vista,AMAZONIA,MATO GROSSO,1501.70975408522
Alto Boa Vista,AMAZONIA,MATO GROSSO,102.676202226104
Alto Boa Vista,AMAZONIA,MATO GROSSO,11.0010216670825
Alto Boa Vista,AMAZONIA,MATO GROSSO,952.70087085376
Alto Boa Vista,AMAZONIA,MATO GROSSO,33.9366850400607
Alto Boa Vista,AMAZONIA,MATO GROSSO,92.0418812812573
Alto Boa Vista,AMAZONIA,MATO GROSSO,1935.70662279455
Alto Boa Vista,AMAZONIA,MATO GROSSO,333.328389607545
Alto Boa Vista,AMAZONIA,MATO GROSSO,385.087463149725
Alto Boa Vista,AMAZONIA,MATO GROSSO,2852.5649182745
Alto Boa Vista,AMAZONIA,MATO GROSSO,835.437020536527
Alto Boa Vista,AMAZONIA,MATO GROSSO,336.511351876555
Alto Boa Vista,AMAZONIA,MATO GROSSO,1437.46683116545
Araputanga,AMAZONIA,MATO GROSSO,0.567602686971542
Araputanga,AMAZONIA,MATO GROSSO,0.0309990762254074
Araputanga,AMAZONIA,MATO GROSSO,0.0450133452358467
Araputanga,AMAZONIA,MATO GROSSO,1.4931773150504
Araputanga,AMAZONIA,MATO GROSSO,14.7636028239077
