MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Canarana,AMAZONIA,MATO GROSSO,23078.5646562889
Canarana,AMAZONIA,MATO GROSSO,25.9200118920059
Canarana,AMAZONIA,MATO GROSSO,71.2727524300365
Canarana,AMAZONIA,MATO GROSSO,8123.70716503201
Canarana,AMAZONIA,MATO GROSSO,18952.9668702986
Canarana,AMAZONIA,MATO GROSSO,2946.97535257997
Canarana,AMAZONIA,MATO GROSSO,1120.04199688903
Canarana,AMAZONIA,MATO GROSSO,373.347332296343
Canarana,AMAZONIA,MATO GROSSO,373.347332296343
Canarana,AMAZONIA,MATO GROSSO,4837.5397875035
Claudia,AMAZONIA,MATO GROSSO,7.91623902518195
Claudia,AMAZONIA,MATO GROSSO,3745.15753917292
Claudia,AMAZONIA,MATO GROSSO,11.0415364321425
Claudia,AMAZONIA,MATO GROSSO,11.0677687414445
Claudia,AMAZONIA,MATO GROSSO,91.2259905830934
Claudia,AMAZONIA,MATO GROSSO,12.3055509011348
Claudia,AMAZONIA,MATO GROSSO,9.76631023899589
Claudia,AMAZONIA,MATO GROSSO,17.5793584301926
Claudia,AMAZONIA,MATO GROSSO,1172.26215241779
Feliz Natal,AMAZONIA,MATO GROSSO,41.1412405823268
Feliz Natal,AMAZONIA,MATO GROSSO,19463.8422169531
Feliz Natal,AMAZONIA,MATO GROSSO,57.3836269102374
Feliz Natal,AMAZONIA,MATO GROSSO,57.5199580321993
Feliz Natal,AMAZONIA,MATO GROSSO,474.107769358804
Feliz Natal,AMAZONIA,MATO GROSSO,63.9527973462145
Feliz Natal,AMAZONIA,MATO GROSSO,50.7561883700115
Feliz Natal,AMAZONIA,MATO GROSSO,91.3611390660208
Feliz Natal,AMAZONIA,MATO GROSSO,6092.32731411467
Itanhanga,AMAZONIA,MATO GROSSO,5.40352799201591
Itanhanga,AMAZONIA,MATO GROSSO,2556.39875615872
Itanhanga,AMAZONIA,MATO GROSSO,7.53681779897675
Itanhanga,AMAZONIA,MATO GROSSO,7.55472365264759
Itanhanga,AMAZONIA,MATO GROSSO,62.2697460431717
Itanhanga,AMAZONIA,MATO GROSSO,8.39961862444272
Itanhanga,AMAZONIA,MATO GROSSO,6.66636398765296
Itanhanga,AMAZONIA,MATO GROSSO,11.9994551777753
Itanhanga,AMAZONIA,MATO GROSSO,800.171815734777
Nova Ubirata,AMAZONIA,MATO GROSSO,98.0766450442874
Nova Ubirata,AMAZONIA,MATO GROSSO,46399.8731513742
Nova Ubirata,AMAZONIA,MATO GROSSO,136.796886242823
Nova Ubirata,AMAZONIA,MATO GROSSO,137.121886142386
Nova Ubirata,AMAZONIA,MATO GROSSO,1130.22599100031
Nova Ubirata,AMAZONIA,MATO GROSSO,152.457138290777
Nova Ubirata,AMAZONIA,MATO GROSSO,120.997728802204
Nova Ubirata,AMAZONIA,MATO GROSSO,217.795911843968
Nova Ubirata,AMAZONIA,MATO GROSSO,14523.5052473532
Santa Carmem,AMAZONIA,MATO GROSSO,18.6475903876411
Santa Carmem,AMAZONIA,MATO GROSSO,8822.1393398461
Santa Carmem,AMAZONIA,MATO GROSSO,26.009579546782
Santa Carmem,AMAZONIA,MATO GROSSO,26.0713726984578
Santa Carmem,AMAZONIA,MATO GROSSO,214.893069763167
Santa Carmem,AMAZONIA,MATO GROSSO,28.9871076364266
Santa Carmem,AMAZONIA,MATO GROSSO,23.005640981291
Santa Carmem,AMAZONIA,MATO GROSSO,41.4101537663237
Santa Carmem,AMAZONIA,MATO GROSSO,2761.39519987763
Uniao Do Sul,AMAZONIA,MATO GROSSO,8.57333548601084
Uniao Do Sul,AMAZONIA,MATO GROSSO,4056.02861777589
Uniao Do Sul,AMAZONIA,MATO GROSSO,11.9580517734043
Uniao Do Sul,AMAZONIA,MATO GROSSO,11.9864615254978
Uniao Do Sul,AMAZONIA,MATO GROSSO,98.7983081138142
