MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Agudos Do Sul,MATA ATLANTICA,PARANA,28.8354130478121
Agudos Do Sul,MATA ATLANTICA,PARANA,20.4506475516398
Agudos Do Sul,MATA ATLANTICA,PARANA,111.981314742651
Agudos Do Sul,MATA ATLANTICA,PARANA,633.050144375071
Agudos Do Sul,MATA ATLANTICA,PARANA,296.329883023261
Agudos Do Sul,MATA ATLANTICA,PARANA,221.591029956526
Agudos Do Sul,MATA ATLANTICA,PARANA,20.4506475516398
Agudos Do Sul,MATA ATLANTICA,PARANA,12.2703885309839
Agudos Do Sul,MATA ATLANTICA,PARANA,12.2703885309839
Agudos Do Sul,MATA ATLANTICA,PARANA,24.5407770619678
Agudos Do Sul,MATA ATLANTICA,PARANA,88.7075931172614
Agudos Do Sul,MATA ATLANTICA,PARANA,4.09012951032797
Agudos Do Sul,MATA ATLANTICA,PARANA,10.8684550057571
Altamira Do Parana,MATA ATLANTICA,PARANA,3527.74594201965
Altamira Do Parana,MATA ATLANTICA,PARANA,37.6963695206249
Altamira Do Parana,MATA ATLANTICA,PARANA,34.2982085504006
Altamira Do Parana,MATA ATLANTICA,PARANA,123.737383154907
Altamira Do Parana,MATA ATLANTICA,PARANA,270.385576511244
Altamira Do Parana,MATA ATLANTICA,PARANA,46.1005255198229
Anahy,MATA ATLANTICA,PARANA,235.845608034968
Anahy,MATA ATLANTICA,PARANA,167.266388677282
Anahy,MATA ATLANTICA,PARANA,915.898143031436
Anahy,MATA ATLANTICA,PARANA,5177.73391937213
Anahy,MATA ATLANTICA,PARANA,2423.68997193382
Anahy,MATA ATLANTICA,PARANA,1812.39891062205
Anahy,MATA ATLANTICA,PARANA,167.266388677282
Anahy,MATA ATLANTICA,PARANA,100.359833206369
Anahy,MATA ATLANTICA,PARANA,100.359833206369
Anahy,MATA ATLANTICA,PARANA,200.719666412739
Anahy,MATA ATLANTICA,PARANA,725.541756636857
Anahy,MATA ATLANTICA,PARANA,33.4532777354564
Anahy,MATA ATLANTICA,PARANA,88.8933817241765
Antonio Olinto,MATA ATLANTICA,PARANA,358.449908722575
Antonio Olinto,MATA ATLANTICA,PARANA,254.219793420266
Antonio Olinto,MATA ATLANTICA,PARANA,1392.02764259285
Antonio Olinto,MATA ATLANTICA,PARANA,7869.37804885282
Antonio Olinto,MATA ATLANTICA,PARANA,3683.64480665965
Antonio Olinto,MATA ATLANTICA,PARANA,2754.57418730072
Antonio Olinto,MATA ATLANTICA,PARANA,254.219793420266
Antonio Olinto,MATA ATLANTICA,PARANA,152.53187605216
Antonio Olinto,MATA ATLANTICA,PARANA,152.53187605216
Antonio Olinto,MATA ATLANTICA,PARANA,305.06375210432
Antonio Olinto,MATA ATLANTICA,PARANA,1102.71451992584
Antonio Olinto,MATA ATLANTICA,PARANA,50.8439586840533
Antonio Olinto,MATA ATLANTICA,PARANA,135.104591646022
Araruna,MATA ATLANTICA,PARANA,58180.9314443373
Araruna,MATA ATLANTICA,PARANA,621.702902313951
Araruna,MATA ATLANTICA,PARANA,565.659135643993
Araruna,MATA ATLANTICA,PARANA,2040.72411243871
Araruna,MATA ATLANTICA,PARANA,4459.30204416367
Araruna,MATA ATLANTICA,PARANA,760.30744812683
Assis Chateaubriand,MATA ATLANTICA,PARANA,2906.11392818626
Assis Chateaubriand,MATA ATLANTICA,PARANA,2061.07370793351
Assis Chateaubriand,MATA ATLANTICA,PARANA,11285.79146519
Assis Chateaubriand,MATA ATLANTICA,PARANA,63800.5718440125
Assis Chateaubriand,MATA ATLANTICA,PARANA,29864.9580279566
Assis Chateaubriand,MATA ATLANTICA,PARANA,22332.5664678369
Assis Chateaubriand,MATA ATLANTICA,PARANA,2061.07370793351
Assis Chateaubriand,MATA ATLANTICA,PARANA,1236.64422476011
Assis Chateaubriand,MATA ATLANTICA,PARANA,1236.64422476011
Assis Chateaubriand,MATA ATLANTICA,PARANA,2473.28844952022
Assis Chateaubriand,MATA ATLANTICA,PARANA,8940.20042183903
Assis Chateaubriand,MATA ATLANTICA,PARANA,412.214741586702
Assis Chateaubriand,MATA ATLANTICA,PARANA,1095.35342593238
Balsa Nova,MATA ATLANTICA,PARANA,523.098989445303
