MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Claudia,AMAZONIA,MATO GROSSO,371.071874933815
Claudia,AMAZONIA,MATO GROSSO,65.3507020923027
Claudia,AMAZONIA,MATO GROSSO,17.0963557910128
Claudia,AMAZONIA,MATO GROSSO,172.330978071931
Claudia,AMAZONIA,MATO GROSSO,84.1500253582542
Claudia,AMAZONIA,MATO GROSSO,55.8402460748925
Denise,AMAZONIA,MATO GROSSO,26.1953170490688
Denise,AMAZONIA,MATO GROSSO,94.7147820731333
Denise,AMAZONIA,MATO GROSSO,16.8398466744014
Denise,AMAZONIA,MATO GROSSO,4.40394839910635
Denise,AMAZONIA,MATO GROSSO,1.12265644496009
Denise,AMAZONIA,MATO GROSSO,53.4760380210399
Denise,AMAZONIA,MATO GROSSO,65.6040498836298
Denise,AMAZONIA,MATO GROSSO,0.184182965663375
Denise,AMAZONIA,MATO GROSSO,279.456675792329
Denise,AMAZONIA,MATO GROSSO,159.418798040545
Denise,AMAZONIA,MATO GROSSO,87.0662003243709
Denise,AMAZONIA,MATO GROSSO,197.486798485105
Denise,AMAZONIA,MATO GROSSO,97.0870938279156
Denise,AMAZONIA,MATO GROSSO,70.479637050299
Denise,AMAZONIA,MATO GROSSO,40.0881351221816
Denise,AMAZONIA,MATO GROSSO,0.351527777765724
Denise,AMAZONIA,MATO GROSSO,0.461153486554166
Denise,AMAZONIA,MATO GROSSO,11.3223135889183
Denise,AMAZONIA,MATO GROSSO,57.6909176891909
Denise,AMAZONIA,MATO GROSSO,30.0324526418261
Denise,AMAZONIA,MATO GROSSO,3.73413601102431
Denise,AMAZONIA,MATO GROSSO,1.83926634241456
Denise,AMAZONIA,MATO GROSSO,134.330371168988
Denise,AMAZONIA,MATO GROSSO,1.09146361403852
Denise,AMAZONIA,MATO GROSSO,30.1707806860624
Denise,AMAZONIA,MATO GROSSO,103.143181151176
Feliz Natal,AMAZONIA,MATO GROSSO,88.8509410139935
Feliz Natal,AMAZONIA,MATO GROSSO,895.615987098374
Feliz Natal,AMAZONIA,MATO GROSSO,437.333489711456
Feliz Natal,AMAZONIA,MATO GROSSO,290.205612871913
