MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Analandia,CERRADO,SAO PAULO,854.592566090229
Analandia,CERRADO,SAO PAULO,67.447431738191
Arandu,CERRADO,SAO PAULO,5860.06145663345
Arandu,CERRADO,SAO PAULO,462.496528475721
Araraquara,CERRADO,SAO PAULO,2441.69211912231
Araraquara,CERRADO,SAO PAULO,192.70687467318
Arealva,CERRADO,SAO PAULO,88.7152798668804
Arealva,CERRADO,SAO PAULO,7.00171990768777
Boa Esperanca Do Sul,CERRADO,SAO PAULO,234.40216167341
Boa Esperanca Do Sul,CERRADO,SAO PAULO,18.4998377309574
Bocaina,CERRADO,SAO PAULO,52.90365827932
Bocaina,CERRADO,SAO PAULO,4.17534158624811
Brotas,CERRADO,SAO PAULO,1367.34810574437
Brotas,CERRADO,SAO PAULO,107.915890781106
Cerqueira Cesar,CERRADO,SAO PAULO,5298.47205605987
Cerqueira Cesar,CERRADO,SAO PAULO,418.173930476338
Cosmorama,CERRADO,SAO PAULO,341.837026436092
Cosmorama,CERRADO,SAO PAULO,26.9789726952764
Espirito Santo Do Turvo,CERRADO,SAO PAULO,3631.61059198269
Espirito Santo Do Turvo,CERRADO,SAO PAULO,286.619398789133
Gaviao Peixoto,CERRADO,SAO PAULO,1465.01490073348
Gaviao Peixoto,CERRADO,SAO PAULO,115.624095543819
Ibate,CERRADO,SAO PAULO,341.837026436092
Ibate,CERRADO,SAO PAULO,26.9789726952764
Itabera,CERRADO,SAO PAULO,91468.2461411243
Itabera,CERRADO,SAO PAULO,7218.99362644839
Itaju,CERRADO,SAO PAULO,341.837026436092
Itaju,CERRADO,SAO PAULO,26.9789726952764
Itapetininga,CERRADO,SAO PAULO,5455.88729491306
Itapetininga,CERRADO,SAO PAULO,430.597691223141
Itapeva,CERRADO,SAO PAULO,210799.429812907
Itapeva,CERRADO,SAO PAULO,16637.027651437
Itarare,CERRADO,SAO PAULO,46392.1521170234
Itarare,CERRADO,SAO PAULO,3661.43076509086
Itirapina,CERRADO,SAO PAULO,232.774613469369
Itirapina,CERRADO,SAO PAULO,18.3713859391347
Lencois Paulista,CERRADO,SAO PAULO,97.6677218388833
Lencois Paulista,CERRADO,SAO PAULO,7.70827791293612
Limeira,CERRADO,SAO PAULO,195.335443677767
Limeira,CERRADO,SAO PAULO,15.4165558258722
Lucianopolis,CERRADO,SAO PAULO,156.268725682123
Lucianopolis,CERRADO,SAO PAULO,12.333273920787
Matao,CERRADO,SAO PAULO,1098.76187068744
Matao,CERRADO,SAO PAULO,86.7181265205313
Mineiros Do Tiete,CERRADO,SAO PAULO,329.628561206231
Mineiros Do Tiete,CERRADO,SAO PAULO,26.0154379561594
Nova Europa,CERRADO,SAO PAULO,329.628561206231
Nova Europa,CERRADO,SAO PAULO,26.0154379561594
Pederneiras,CERRADO,SAO PAULO,5860.06145663345
Pederneiras,CERRADO,SAO PAULO,462.496528475721
Piracicaba,CERRADO,SAO PAULO,781.341774711066
Piracicaba,CERRADO,SAO PAULO,61.6662233034889
Pontes Gestal,CERRADO,SAO PAULO,4113.24344305852
Pontes Gestal,CERRADO,SAO PAULO,324.631546489441
Rancharia,CERRADO,SAO PAULO,37729.2265016855
Rancharia,CERRADO,SAO PAULO,2977.72240244189
Santa Cruz Da Conceicao,CERRADO,SAO PAULO,263.70266359503
Santa Cruz Da Conceicao,CERRADO,SAO PAULO,20.8123357348829
Santa Ernestina,CERRADO,SAO PAULO,72.4370172771417
Santa Ernestina,CERRADO,SAO PAULO,5.7169825387907
Sao Carlos,CERRADO,SAO PAULO,1196.42959252632
Sao Carlos,CERRADO,SAO PAULO,94.4264044334674
Tabatinga,CERRADO,SAO PAULO,366.253956895812
Tabatinga,CERRADO,SAO PAULO,28.9060421735104
Taquaritinga,CERRADO,SAO PAULO,219.752374137487
Taquaritinga,CERRADO,SAO PAULO,17.3436253041063
Adolfo,MATA ATLANTICA,SAO PAULO,594.144998903282
Adolfo,MATA ATLANTICA,SAO PAULO,46.8919995869537
Alambari,MATA ATLANTICA,SAO PAULO,1465.01490073348
Alambari,MATA ATLANTICA,SAO PAULO,115.624095543819
Angatuba,MATA ATLANTICA,SAO PAULO,13624.6425622753
Angatuba,MATA ATLANTICA,SAO PAULO,1075.30440310347
Aracoiaba Da Serra,MATA ATLANTICA,SAO PAULO,691.812720742165
Aracoiaba Da Serra,MATA ATLANTICA,SAO PAULO,54.6002774998898
Araras,MATA ATLANTICA,SAO PAULO,2197.5228145251
Araras,MATA ATLANTICA,SAO PAULO,173.436179890839
Auriflama,MATA ATLANTICA,SAO PAULO,136.734439834527
Auriflama,MATA ATLANTICA,SAO PAULO,10.7915598180213
Bady Bassitt,MATA ATLANTICA,SAO PAULO,152.198928322245
Bady Bassitt,MATA ATLANTICA,SAO PAULO,12.012071291007
Bernardino De Campos,MATA ATLANTICA,SAO PAULO,4150.87725130277
Bernardino De Campos,MATA ATLANTICA,SAO PAULO,327.601738149562
Bom Sucesso De Itarare,MATA ATLANTICA,SAO PAULO,45.5778376615841
Bom Sucesso De Itarare,MATA ATLANTICA,SAO PAULO,3.59716222259939
Boraceia,MATA ATLANTICA,SAO PAULO,219.752374137487
Boraceia,MATA ATLANTICA,SAO PAULO,17.3436253041063
Braganca Paulista,MATA ATLANTICA,SAO PAULO,610.423261493021
Braganca Paulista,MATA ATLANTICA,SAO PAULO,48.1767369558507
Brejo Alegre,MATA ATLANTICA,SAO PAULO,4834.55037732517
Brejo Alegre,MATA ATLANTICA,SAO PAULO,381.559610389891
Buri,MATA ATLANTICA,SAO PAULO,62485.9345276434
Buri,MATA ATLANTICA,SAO PAULO,4931.6083135754
Buritama,MATA ATLANTICA,SAO PAULO,442.759844683058
Buritama,MATA ATLANTICA,SAO PAULO,34.9441541918581
Capao Bonito,MATA ATLANTICA,SAO PAULO,54938.0749973764
Capao Bonito,MATA ATLANTICA,SAO PAULO,4335.9048630221
Capela Do Alto,MATA ATLANTICA,SAO PAULO,1538.26569211264
Capela Do Alto,MATA ATLANTICA,SAO PAULO,121.405303978521
Cardoso,MATA ATLANTICA,SAO PAULO,1860.56935955091
Cardoso,MATA ATLANTICA,SAO PAULO,146.842635721255
Cordeiropolis,MATA ATLANTICA,SAO PAULO,421.598937481195
Cordeiropolis,MATA ATLANTICA,SAO PAULO,33.2740614474927
Coroados,MATA ATLANTICA,SAO PAULO,7423.55785330783
Coroados,MATA ATLANTICA,SAO PAULO,585.893127828387
Gastao Vidigal,MATA ATLANTICA,SAO PAULO,82.2032333511653
Gastao Vidigal,MATA ATLANTICA,SAO PAULO,6.48776643995043
General Salgado,MATA ATLANTICA,SAO PAULO,683.674052872183
General Salgado,MATA ATLANTICA,SAO PAULO,53.9579453905528
Glicerio,MATA ATLANTICA,SAO PAULO,1953.35350992789
Glicerio,MATA ATLANTICA,SAO PAULO,154.165485108499
Guapiacu,MATA ATLANTICA,SAO PAULO,134.293117528465
Guapiacu,MATA ATLANTICA,SAO PAULO,10.5988821302872
Guapiara,MATA ATLANTICA,SAO PAULO,10255.1070856836
Guapiara,MATA ATLANTICA,SAO PAULO,809.3688882574
Guararapes,MATA ATLANTICA,SAO PAULO,6983.24025778061
Guararapes,MATA ATLANTICA,SAO PAULO,551.141724474486
Ibiuna,MATA ATLANTICA,SAO PAULO,610.423261493021
Ibiuna,MATA ATLANTICA,SAO PAULO,48.1767369558507
Iepe,MATA ATLANTICA,SAO PAULO,12749.3970026597
Iepe,MATA ATLANTICA,SAO PAULO,1006.22696494319
Indaiatuba,MATA ATLANTICA,SAO PAULO,341.837026436092
Indaiatuba,MATA ATLANTICA,SAO PAULO,26.9789726952764
Ipero,MATA ATLANTICA,SAO PAULO,211.613706267505
Ipero,MATA ATLANTICA,SAO PAULO,16.7012931947693
Iracemapolis,MATA ATLANTICA,SAO PAULO,719.485674459744
Iracemapolis,MATA ATLANTICA,SAO PAULO,56.7843237119925
Itapui,MATA ATLANTICA,SAO PAULO,844.01164906441
Itapui,MATA ATLANTICA,SAO PAULO,66.6123487908968
Itatinga,MATA ATLANTICA,SAO PAULO,1025.51107930827
Itatinga,MATA ATLANTICA,SAO PAULO,80.9369180858292
Itu,MATA ATLANTICA,SAO PAULO,307.652953052573
Itu,MATA ATLANTICA,SAO PAULO,24.2810461656595
Jau,MATA ATLANTICA,SAO PAULO,4732.81378497619
Jau,MATA ATLANTICA,SAO PAULO,373.530202997398
Leme,MATA ATLANTICA,SAO PAULO,1758.01806625013
Leme,MATA ATLANTICA,SAO PAULO,138.748929282627
