MUNICIPALITY,BIOME,STATE,COUNTRY,SOY_EQUIVALENT_TONS
Itaubal,AMAZONIA,AMAPA,Spain,574.876570272214
Itaubal,AMAZONIA,AMAPA,Spain,2988.72994418036
Macapa,AMAZONIA,AMAPA,Spain,1728.06545100138
Macapa,AMAZONIA,AMAPA,Spain,8984.05192694802
Tartarugalzinho,AMAZONIA,AMAPA,Spain,43.70497872641
Tartarugalzinho,AMAZONIA,AMAPA,Spain,227.21812887162
Acailandia,AMAZONIA,MARANHAO,Portugal,257.56260034
Acailandia,AMAZONIA,MARANHAO,Spain,441.82451742412
Acailandia,AMAZONIA,MARANHAO,Netherlands,1081.71840614601
Acailandia,AMAZONIA,MARANHAO,Spain,540.859203073005
Acailandia,AMAZONIA,MARANHAO,Spain,833.047507766483
Acailandia,AMAZONIA,MARANHAO,Germany,98.7494515706389
Acailandia,AMAZONIA,MARANHAO,Spain,7.48507069853314
Acailandia,AMAZONIA,MARANHAO,Italy,69.4206256472069
Acailandia,AMAZONIA,MARANHAO,Spain,3745.63824297112
Acailandia,AMAZONIA,MARANHAO,France,1918.98019295811
Acailandia,AMAZONIA,MARANHAO,Netherlands,751.599272781517
Acailandia,AMAZONIA,MARANHAO,Spain,221.378695895783
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Portugal,3.4143576578646
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,5.85701077139301
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Netherlands,14.3397120498171
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,7.16985602490852
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,11.043226515623
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Germany,1.30906407116195
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,0.0992252307806255
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Italy,0.920268876301919
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,49.6537486482768
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,France,25.4388048127632
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Netherlands,9.96351461461967
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,Spain,2.93468867227638
Buriticupu,AMAZONIA,MARANHAO,Portugal,150.550524197975
Buriticupu,AMAZONIA,MARANHAO,Spain,258.255323614188
Buriticupu,AMAZONIA,MARANHAO,Netherlands,632.286181553153
Buriticupu,AMAZONIA,MARANHAO,Spain,316.143090776577
Buriticupu,AMAZONIA,MARANHAO,Spain,486.933036125986
Buriticupu,AMAZONIA,MARANHAO,Germany,57.7210421023744
Buriticupu,AMAZONIA,MARANHAO,Spain,4.37517448509801
Buriticupu,AMAZONIA,MARANHAO,Italy,40.5777530104989
Buriticupu,AMAZONIA,MARANHAO,Spain,2189.40094637532
Buriticupu,AMAZONIA,MARANHAO,France,1121.68254860761
