MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Itaubal,AMAZONIA,AMAPA,804.681485547427
Itaubal,AMAZONIA,AMAPA,2988.72994418036
Macapa,AMAZONIA,AMAPA,2418.8536220506
Macapa,AMAZONIA,AMAPA,8984.05192694802
Tartarugalzinho,AMAZONIA,AMAPA,61.1758924019696
Tartarugalzinho,AMAZONIA,AMAPA,227.21812887162
Itanhanga,AMAZONIA,MATO GROSSO,546.859246884437
Itanhanga,AMAZONIA,MATO GROSSO,1660.44774062123
Itanhanga,AMAZONIA,MATO GROSSO,378.380827520554
Itanhanga,AMAZONIA,MATO GROSSO,318.309168054888
Tapurah,AMAZONIA,MATO GROSSO,1404.50182617662
Tapurah,AMAZONIA,MATO GROSSO,4264.53771653274
Tapurah,AMAZONIA,MATO GROSSO,971.797708954431
Tapurah,AMAZONIA,MATO GROSSO,817.515311972634
Lucas Do Rio Verde,CERRADO,MATO GROSSO,5066.28616924029
Lucas Do Rio Verde,CERRADO,MATO GROSSO,15382.9408042055
Lucas Do Rio Verde,CERRADO,MATO GROSSO,3505.44598833159
Lucas Do Rio Verde,CERRADO,MATO GROSSO,2948.92213096225
Sorriso,CERRADO,MATO GROSSO,37564.905
Sorriso,CERRADO,MATO GROSSO,15998.625
Sorriso,CERRADO,MATO GROSSO,30475.47
Sorriso,CERRADO,MATO GROSSO,12032.352
Sorriso,CERRADO,MATO GROSSO,25501.104
Sorriso,CERRADO,MATO GROSSO,13444.113
Sorriso,CERRADO,MATO GROSSO,3158.121
Sorriso,CERRADO,MATO GROSSO,136
Sorriso,CERRADO,MATO GROSSO,329.943
Sorriso,CERRADO,MATO GROSSO,20000.005
Sorriso,CERRADO,MATO GROSSO,131499.995
Sorriso,CERRADO,MATO GROSSO,1007
Almas,CERRADO,TOCANTINS,5279.38660575677
Almas,CERRADO,TOCANTINS,602.422133113877
Almas,CERRADO,TOCANTINS,157.581340611075
Almas,CERRADO,TOCANTINS,180.726639934163
Almas,CERRADO,TOCANTINS,1965.87559259622
