MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Caibate,MATA ATLANTICA,RIO GRANDE DO SUL,120.920486296409
Cerro Largo,MATA ATLANTICA,RIO GRANDE DO SUL,44.2679943972573
Dezesseis De Novembro,MATA ATLANTICA,RIO GRANDE DO SUL,9.07985737549035
Estrela Velha,MATA ATLANTICA,RIO GRANDE DO SUL,133.935275671966
Guarani Das Missoes,MATA ATLANTICA,RIO GRANDE DO SUL,99.1489830404451
Itaara,MATA ATLANTICA,RIO GRANDE DO SUL,29.8661398525088
Ivora,MATA ATLANTICA,RIO GRANDE DO SUL,29.5119962648382
Jacuizinho,MATA ATLANTICA,RIO GRANDE DO SUL,45.603408058284
Jaguari,MATA ATLANTICA,RIO GRANDE DO SUL,43.284260353185
Mato Queimado,MATA ATLANTICA,RIO GRANDE DO SUL,56.1383737807235
Nova Esperanca Do Sul,MATA ATLANTICA,RIO GRANDE DO SUL,31.9713271987973
Pirapo,MATA ATLANTICA,RIO GRANDE DO SUL,35.9652859142908
Porto Xavier,MATA ATLANTICA,RIO GRANDE DO SUL,10.2308240354197
Roque Gonzales,MATA ATLANTICA,RIO GRANDE DO SUL,61.5816985385313
Salvador Das Missoes,MATA ATLANTICA,RIO GRANDE DO SUL,34.4306623089779
Sao Paulo Das Missoes,MATA ATLANTICA,RIO GRANDE DO SUL,39.8411953751537
Sao Pedro Do Butia,MATA ATLANTICA,RIO GRANDE DO SUL,37.3818602649731
Sete De Setembro,MATA ATLANTICA,RIO GRANDE DO SUL,55.9219536274185
Toropi,MATA ATLANTICA,RIO GRANDE DO SUL,7.52555959044254
Ubiretama,MATA ATLANTICA,RIO GRANDE DO SUL,40.1363164236197
Vitoria Das Missoes,MATA ATLANTICA,RIO GRANDE DO SUL,101.816385860825
Acegua,PAMPA,RIO GRANDE DO SUL,190.680283219216
Alegrete,PAMPA,RIO GRANDE DO SUL,147.559981324191
Amaral Ferrador,PAMPA,RIO GRANDE DO SUL,10.2308240354197
Arambare,PAMPA,RIO GRANDE DO SUL,62.8802278108044
Arroio Do Padre,PAMPA,RIO GRANDE DO SUL,1.73136957888309
Arroio Grande,PAMPA,RIO GRANDE DO SUL,275.445294295602
Bage,PAMPA,RIO GRANDE DO SUL,275.445294295602
Barra Do Quarai,PAMPA,RIO GRANDE DO SUL,3.68899848904939
Bossoroca,PAMPA,RIO GRANDE DO SUL,336.987644474663
Cacapava Do Sul,PAMPA,RIO GRANDE DO SUL,127.885317147632
Cacequi,PAMPA,RIO GRANDE DO SUL,173.792866892936
Camaqua,PAMPA,RIO GRANDE DO SUL,165.360595312518
Candiota,PAMPA,RIO GRANDE DO SUL,66.5790613016104
Cangucu,PAMPA,RIO GRANDE DO SUL,260.886042136753
Capao Do Cipo,PAMPA,RIO GRANDE DO SUL,511.383866800207
Capao Do Leao,PAMPA,RIO GRANDE DO SUL,71.9895943677863
Cerrito,PAMPA,RIO GRANDE DO SUL,40.1363164236197
Chui,PAMPA,RIO GRANDE DO SUL,13.8673608293238
Cristal,PAMPA,RIO GRANDE DO SUL,61.9751904856716
Dilermando De Aguiar,PAMPA,RIO GRANDE DO SUL,177.071977589029
Dom Feliciano,PAMPA,RIO GRANDE DO SUL,5.50890396485012
Dom Pedrito,PAMPA,RIO GRANDE DO SUL,553.251548626488
Garruchos,PAMPA,RIO GRANDE DO SUL,157.771131179876
Herval,PAMPA,RIO GRANDE DO SUL,27.5445281766937
Hulha Negra,PAMPA,RIO GRANDE DO SUL,82.6335887063026
Itacurubi,PAMPA,RIO GRANDE DO SUL,72.1404353140489
Itaqui,PAMPA,RIO GRANDE DO SUL,158.872910302357
Jaguarao,PAMPA,RIO GRANDE DO SUL,265.607962207322
Jari,PAMPA,RIO GRANDE DO SUL,409.233011531446
Joia,PAMPA,RIO GRANDE DO SUL,621.764697477372
Julio De Castilhos,PAMPA,RIO GRANDE DO SUL,851.257643699074
Lavras Do Sul,PAMPA,RIO GRANDE DO SUL,159.364777324393
Macambara,PAMPA,RIO GRANDE DO SUL,187.302801624449
Manoel Viana,PAMPA,RIO GRANDE DO SUL,309.87595660458
Mata,PAMPA,RIO GRANDE DO SUL,17.2612382699072
Morro Redondo,PAMPA,RIO GRANDE DO SUL,3.54144005292717
Pedras Altas,PAMPA,RIO GRANDE DO SUL,148.740461341833
Pedro Osorio,PAMPA,RIO GRANDE DO SUL,41.3167922650405
Pelotas,PAMPA,RIO GRANDE DO SUL,139.165454434166
Pinheiro Machado,PAMPA,RIO GRANDE DO SUL,21.2486361413415
Piratini,PAMPA,RIO GRANDE DO SUL,236.095965942484
Quevedos,PAMPA,RIO GRANDE DO SUL,265.755524819666
Rio Grande,PAMPA,RIO GRANDE DO SUL,32.8402944983793
Rolador,PAMPA,RIO GRANDE DO SUL,120.999183015348
Rosario Do Sul,PAMPA,RIO GRANDE DO SUL,242.391857977836
Salto Do Jacui,PAMPA,RIO GRANDE DO SUL,219.175757924572
Santa Margarida Do Sul,PAMPA,RIO GRANDE DO SUL,357.095148957832
Santa Maria,PAMPA,RIO GRANDE DO SUL,433.924712650818
Santa Vitoria Do Palmar,PAMPA,RIO GRANDE DO SUL,145.533490696842
Santana Da Boa Vista,PAMPA,RIO GRANDE DO SUL,216.421301765925
Santana Do Livramento,PAMPA,RIO GRANDE DO SUL,314.794622648719
Santiago,PAMPA,RIO GRANDE DO SUL,350.641859308379
Santo Antonio Das Missoes,PAMPA,RIO GRANDE DO SUL,310.859690648652
Sao Borja,PAMPA,RIO GRANDE DO SUL,452.517271884631
Sao Francisco De Assis,PAMPA,RIO GRANDE DO SUL,261.673030207255
Sao Gabriel,PAMPA,RIO GRANDE DO SUL,826.991708367001
Sao Lourenco Do Sul,PAMPA,RIO GRANDE DO SUL,157.39731341247
Sao Luiz Gonzaga,PAMPA,RIO GRANDE DO SUL,679.43172704281
Sao Martinho Da Serra,PAMPA,RIO GRANDE DO SUL,336.538404146016
Sao Miguel Das Missoes,PAMPA,RIO GRANDE DO SUL,677.123232878892
Sao Nicolau,PAMPA,RIO GRANDE DO SUL,125.189887704412
Sao Pedro Do Sul,PAMPA,RIO GRANDE DO SUL,84.4633333600816
Sao Sepe,PAMPA,RIO GRANDE DO SUL,489.407265127568
Sao Vicente Do Sul,PAMPA,RIO GRANDE DO SUL,196.746637589366
Tupancireta,PAMPA,RIO GRANDE DO SUL,1502.15347438812
Turucu,PAMPA,RIO GRANDE DO SUL,36.8112965239975
Unistalda,PAMPA,RIO GRANDE DO SUL,67.1824209104395
Uruguaiana,PAMPA,RIO GRANDE DO SUL,5.33511468115527
Vila Nova Do Sul,PAMPA,RIO GRANDE DO SUL,81.8466006358005
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,3180
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,135.046
Unknown Municipality Mato Grosso Do Sul,UNKNOWN BIOME,MATO GROSSO DO SUL,17595
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,90348.735
