MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Alto Boa Vista,AMAZONIA,MATO GROSSO,22.0340563072163
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,112.480122602921
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.390631329313349
Querencia,AMAZONIA,MATO GROSSO,335.345275805925
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,116.997732020043
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,9.06522917250352
Santana Do Araguaia,AMAZONIA,PARA,12880
Balsas,CERRADO,MARANHAO,406.865225579349
Balsas,CERRADO,MARANHAO,40840.4455167577
Balsas,CERRADO,MARANHAO,2981.85607553574
Balsas,CERRADO,MARANHAO,1355.38912524352
Balsas,CERRADO,MARANHAO,4969.76012589289
Fortaleza Dos Nogueiras,CERRADO,MARANHAO,29.6797919416404
Fortaleza Dos Nogueiras,CERRADO,MARANHAO,2979.20748575961
Fortaleza Dos Nogueiras,CERRADO,MARANHAO,217.518879367972
Fortaleza Dos Nogueiras,CERRADO,MARANHAO,98.8722178945326
Fortaleza Dos Nogueiras,CERRADO,MARANHAO,362.531465613286
Loreto,CERRADO,MARANHAO,28.7285017307012
Loreto,CERRADO,MARANHAO,2883.71857791508
Loreto,CERRADO,MARANHAO,210.54701174019
Loreto,CERRADO,MARANHAO,95.7031871546316
Loreto,CERRADO,MARANHAO,350.911686233649
Nova Colinas,CERRADO,MARANHAO,12.5633082019213
Nova Colinas,CERRADO,MARANHAO,1261.0837001373
Nova Colinas,CERRADO,MARANHAO,92.0746589669432
Nova Colinas,CERRADO,MARANHAO,41.8521177122469
Nova Colinas,CERRADO,MARANHAO,153.457764944905
Sambaiba,CERRADO,MARANHAO,87.315326177713
Sambaiba,CERRADO,MARANHAO,8764.56525981318
Sambaiba,CERRADO,MARANHAO,639.921328935546
Sambaiba,CERRADO,MARANHAO,290.873331334339
Sambaiba,CERRADO,MARANHAO,1066.53554822591
Sao Raimundo Das Mangabeiras,CERRADO,MARANHAO,40.2902125437329
Sao Raimundo Das Mangabeiras,CERRADO,MARANHAO,4044.26362048482
Sao Raimundo Das Mangabeiras,CERRADO,MARANHAO,295.281109087378
Sao Raimundo Das Mangabeiras,CERRADO,MARANHAO,134.218685948808
Sao Raimundo Das Mangabeiras,CERRADO,MARANHAO,492.135181812295
Tasso Fragoso,CERRADO,MARANHAO,295.107633824942
Tasso Fragoso,CERRADO,MARANHAO,29622.4068391323
Tasso Fragoso,CERRADO,MARANHAO,2162.80093636624
Tasso Fragoso,CERRADO,MARANHAO,983.091334711926
Tasso Fragoso,CERRADO,MARANHAO,3604.66822727706
Brasnorte,CERRADO,MATO GROSSO,1152.85119197649
Brasnorte,CERRADO,MATO GROSSO,20688.7661554212
Brasnorte,CERRADO,MATO GROSSO,2788.12361623182
Brasnorte,CERRADO,MATO GROSSO,143.723871399258
Brasnorte,CERRADO,MATO GROSSO,583.061387216708
Brasnorte,CERRADO,MATO GROSSO,266.980280988466
Brasnorte,CERRADO,MATO GROSSO,6748.03690756593
Brasnorte,CERRADO,MATO GROSSO,1813.7570852299
Campo Novo Do Parecis,CERRADO,MATO GROSSO,367.12480802351
Campo Novo Do Parecis,CERRADO,MATO GROSSO,6588.32584457887
Campo Novo Do Parecis,CERRADO,MATO GROSSO,887.876383768179
Campo Novo Do Parecis,CERRADO,MATO GROSSO,45.7687853064422
