MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,227263.171
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,11528.387
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,6930.9
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,3722.4
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,245.36
Unknown Municipality Santa Catarina,MATA ATLANTICA,SANTA CATARINA,8210.232
Unknown Municipality Goias,UNKNOWN BIOME,GOIAS,20987.693
Unknown Municipality Goias,UNKNOWN BIOME,GOIAS,4444.54
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,39117.351
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,3218.66
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,338.188
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,311.94
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,744.14
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,30.617
Unknown Municipality Mato Grosso,UNKNOWN BIOME,MATO GROSSO,889.062
Unknown Municipality Mato Grosso Do Sul,UNKNOWN BIOME,MATO GROSSO DO SUL,5853.656
Unknown Municipality Mato Grosso Do Sul,UNKNOWN BIOME,MATO GROSSO DO SUL,565.96
Unknown Municipality Mato Grosso Do Sul,UNKNOWN BIOME,MATO GROSSO DO SUL,2.932
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,71425.762
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,5752.953
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,1330.912
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,965.66
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,4193.984
Unknown Municipality Parana,UNKNOWN BIOME,PARANA,1039.504
Unknown Municipality Rio Grande Do Sul,UNKNOWN BIOME,RIO GRANDE DO SUL,5385.3
Unknown Municipality Sao Paulo,UNKNOWN BIOME,SAO PAULO,3805.79
Unknown Municipality Sao Paulo,UNKNOWN BIOME,SAO PAULO,1222.58
