MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Acailandia,AMAZONIA,MARANHAO,416.252527498838
Acailandia,AMAZONIA,MARANHAO,264.936389775621
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,5.5180177673118
Bom Jesus Das Selvas,AMAZONIA,MARANHAO,3.51210769763651
Buriticupu,AMAZONIA,MARANHAO,243.307980781981
Buriticupu,AMAZONIA,MARANHAO,154.860652544997
Cidelandia,AMAZONIA,MARANHAO,2.90544697256894
Cidelandia,AMAZONIA,MARANHAO,1.84925875699114
Itinga Do Maranhao,AMAZONIA,MARANHAO,65.2865979140505
Itinga Do Maranhao,AMAZONIA,MARANHAO,41.5536108717788
Santa Luzia,AMAZONIA,MARANHAO,29.991743858627
Santa Luzia,AMAZONIA,MARANHAO,19.0891437674261
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,90.010359396877
Vila Nova Dos Martirios,AMAZONIA,MARANHAO,57.2897894561885
Alto Boa Vista,AMAZONIA,MATO GROSSO,371.199039995755
Alto Boa Vista,AMAZONIA,MATO GROSSO,33.9366850400607
Alto Boa Vista,AMAZONIA,MATO GROSSO,336.511351876555
Alto Boa Vista,AMAZONIA,MATO GROSSO,82.5881533116499
Alto Boa Vista,AMAZONIA,MATO GROSSO,57.7545570105944
Alto Boa Vista,AMAZONIA,MATO GROSSO,27.8692548899424
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1894.90817971337
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,173.241024749156
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,1717.83341154272
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,421.598523690841
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,294.827223950658
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,142.26782228228
Canabrava Do Norte,AMAZONIA,MATO GROSSO,6.5808116495505
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.601647386429965
Canabrava Do Norte,AMAZONIA,MATO GROSSO,5.96585008587454
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.46416618274224
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.02390313723412
Canabrava Do Norte,AMAZONIA,MATO GROSSO,0.494080796238382
Claudia,AMAZONIA,MATO GROSSO,561.130601383706
Claudia,AMAZONIA,MATO GROSSO,14.2131066170155
Claudia,AMAZONIA,MATO GROSSO,12.2586335467467
Claudia,AMAZONIA,MATO GROSSO,39.0652409559836
Claudia,AMAZONIA,MATO GROSSO,4845.19665541612
Claudia,AMAZONIA,MATO GROSSO,586.467359569354
Claudia,AMAZONIA,MATO GROSSO,528.357383929678
Claudia,AMAZONIA,MATO GROSSO,596.62516212059
Claudia,AMAZONIA,MATO GROSSO,156.260963823934
Claudia,AMAZONIA,MATO GROSSO,678.781864026445
Feliz Natal,AMAZONIA,MATO GROSSO,2916.23446389078
Feliz Natal,AMAZONIA,MATO GROSSO,73.8664960586452
Feliz Natal,AMAZONIA,MATO GROSSO,63.708964617285
Feliz Natal,AMAZONIA,MATO GROSSO,203.024753480046
Feliz Natal,AMAZONIA,MATO GROSSO,25180.8214273289
Feliz Natal,AMAZONIA,MATO GROSSO,3047.91134489148
Feliz Natal,AMAZONIA,MATO GROSSO,2745.90979081762
Feliz Natal,AMAZONIA,MATO GROSSO,3100.70214582849
