MUNICIPALITY,BIOME,STATE,SOY_EQUIVALENT_TONS
Alto Boa Vista,AMAZONIA,MATO GROSSO,823.657267058181
Alto Boa Vista,AMAZONIA,MATO GROSSO,57.1396349559936
Alto Boa Vista,AMAZONIA,MATO GROSSO,1533.06069134193
Alto Boa Vista,AMAZONIA,MATO GROSSO,110.976827570071
Alto Boa Vista,AMAZONIA,MATO GROSSO,1028.20638937945
Alto Boa Vista,AMAZONIA,MATO GROSSO,1078.1100038137
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,4204.63073570115
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,291.688151093243
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,7826.01497044305
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,566.517893805901
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,5248.81933339848
Bom Jesus Do Araguaia,AMAZONIA,MATO GROSSO,5503.56882625765
Canabrava Do Norte,AMAZONIA,MATO GROSSO,14.6022288698683
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.01300147590297
Canabrava Do Norte,AMAZONIA,MATO GROSSO,27.1789055735874
Canabrava Do Norte,AMAZONIA,MATO GROSSO,1.96745551850465
Canabrava Do Norte,AMAZONIA,MATO GROSSO,18.2285832028227
Canabrava Do Norte,AMAZONIA,MATO GROSSO,19.113300704321
Diamantino,AMAZONIA,MATO GROSSO,4800.47442140494
Diamantino,AMAZONIA,MATO GROSSO,15467.8081362872
Diamantino,AMAZONIA,MATO GROSSO,2390.56886828699
Diamantino,AMAZONIA,MATO GROSSO,16342.1755194457
Diamantino,AMAZONIA,MATO GROSSO,12190.1616487185
Querencia,AMAZONIA,MATO GROSSO,12535.5753629766
Querencia,AMAZONIA,MATO GROSSO,869.631373207123
Querencia,AMAZONIA,MATO GROSSO,23332.2749655
Querencia,AMAZONIA,MATO GROSSO,1689.00153156836
Querencia,AMAZONIA,MATO GROSSO,15648.6917535442
Querencia,AMAZONIA,MATO GROSSO,16408.1951837269
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,4373.5039460743
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,303.403404488667
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,8140.33609768626
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,589.271305811507
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,5459.63094260198
Sao Felix Do Araguaia,AMAZONIA,MATO GROSSO,5724.61209845471
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,338.868240208453
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,23.5083308532543
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,630.730279917626
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,45.6579742165139
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,423.023633342737
Sao Jose Do Xingu,AMAZONIA,MATO GROSSO,443.554927947562
Aloandia,CERRADO,GOIAS,10.854404305444
Aloandia,CERRADO,GOIAS,14.312159077647
Bonfinopolis,CERRADO,GOIAS,2.02166209027513
Bonfinopolis,CERRADO,GOIAS,2.66567824664075
Caldas Novas,CERRADO,GOIAS,231.047205686624
Caldas Novas,CERRADO,GOIAS,304.64908705992
Catalao,CERRADO,GOIAS,45.5121447856313
Catalao,CERRADO,GOIAS,60.0103918931929
Corumbaiba,CERRADO,GOIAS,45.4874163589022
Corumbaiba,CERRADO,GOIAS,59.9777860341216
Cristianopolis,CERRADO,GOIAS,16.7653652796351
Cristianopolis,CERRADO,GOIAS,22.1061025667388
Crominia,CERRADO,GOIAS,3.16727079217114
Crominia,CERRADO,GOIAS,4.17622949578199
